© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Date	Tue May 28 04:27:19 PDT 2019
Analysis ID	17865904

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse OR Human OR Rat) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities, Respiratory Disease	CFTR S1251N mutation positive cystic fibrosis	CFTR S1251N mutation positive cystic fibrosis	3.16E-03	 	 	 	 	CFTR	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities, Respiratory Disease	CFTR S1255P mutation positive cystic fibrosis	CFTR S1255P mutation positive cystic fibrosis	3.16E-03	 	 	 	 	CFTR	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities, Respiratory Disease	CFTR S549N mutation positive cystic fibrosis	CFTR S549N mutation positive cystic fibrosis	3.16E-03	 	 	 	 	CFTR	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities, Respiratory Disease	CFTR S549R mutation positive cystic fibrosis	CFTR S549R mutation positive cystic fibrosis	3.16E-03	 	 	 	 	CFTR	1	
Developmental Disorder, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	cerebellar ataxia, mental retardation, and dysequilibrium syndrome type 4	Cerebellar ataxia, mental retardation, and dysequilibrium syndrome type 4	3.16E-03	 	 	 	 	ATP8A2	1	
Hereditary Disorder, Neurological Disease, Ophthalmic Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	childhood-onset neurodegeneration with optic atrophy	Childhood-onset neurodegeneration with optic atrophy	3.16E-03	 	 	 	 	UCHL1	1	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Skeletal and Muscular System Development and Function, Tissue Development	chondrogenesis	Chondrogenesis of chondroprogenitor cells	3.16E-03	 	 	 	 	BMP4	1	
Cellular Development	commitment	Commitment of adipoblasts	3.16E-03	 	 	 	 	BMP4	1	
Hereditary Disorder, Immunological Disease, Organismal Injury and Abnormalities	common variable immunodeficiency type 4	Common variable immunodeficiency type 4	3.16E-03	 	 	 	 	TNFRSF13C	1	
Connective Tissue Disorders, Developmental Disorder, Neurological Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	congenital contractures of the limbs and face, hypotonia, and developmental delay	Congenital contractures of the limbs and face, hypotonia, and developmental delay	3.16E-03	 	 	 	 	NALCN	1	
Lipid Metabolism, Small Molecule Biochemistry	conjugation	Conjugation of arachidonic acid	3.16E-03	 	 	 	 	FAAH	1	
Lipid Metabolism, Small Molecule Biochemistry	conversion	Conversion of eicosapentenoic acid	3.16E-03	 	 	 	 	CFTR	1	
Cardiovascular Disease, Cardiovascular System Development and Function, Hereditary Disorder, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	dilated cardiomyopathy 1J	Dilated cardiomyopathy 1J	3.16E-03	 	 	 	 	EYA4	1	
Ophthalmic Disease, Organismal Injury and Abnormalities	nonexudative age-related macular degeneration	Early stage nonexudative age-related macular degeneration	3.16E-03	 	 	 	 	BMP4	1	
Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	ecchymosis	Ecchymosis	3.16E-03	 	 	 	 	SCG5	1	
Molecular Transport	efflux	Efflux of hydrogen	3.16E-03	 	 	 	 	CFTR	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	ependymoma	Ependymoma in fourth cerebral ventricle	3.16E-03	 	 	 	 	CFTR	1	
Digestive System Development and Function	filling	Filling of crypt	3.16E-03	 	 	 	 	CFTR	1	
Nervous System Development and Function, Tissue Development	formation	Formation of fiber tract	3.16E-03	 	 	 	 	Cdc42	1	
Cardiovascular System Development and Function, Embryonic Development, Organ Development, Organismal Development, Renal and Urological System Development and Function, Tissue Development	formation	Formation of glomerular capillary	3.16E-03	 	 	 	 	BMP4	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders	gracile axonal distrophy	Gracile axonal distrophy	3.16E-03	 	 	 	 	UCHL1	1	
Cellular Development, Cellular Growth and Proliferation, Nervous System Development and Function, Tissue Development	growth	Growth of retinal axons	3.16E-03	 	 	 	 	SEMA5A	1	
Cell Morphology, Organismal Injury and Abnormalities, Tissue Morphology	hypertrophy	Hypertrophy of Muller glia	3.16E-03	 	 	 	 	Cdc42	1	
Digestive System Development and Function, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	hypertrophy	Hypertrophy of ileum	3.16E-03	 	 	 	 	CFTR	1	
Connective Tissue Disorders, Developmental Disorder, Gastrointestinal Disease, Hereditary Disorder, Neurological Disease, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	infantile hypotonia with psychomotor retardation and characteristic facies 1	Infantile hypotonia with psychomotor retardation and characteristic facies 1	3.16E-03	 	 	 	 	NALCN	1	
Inflammatory Response	inflammation	Inflammation of lumen	3.16E-03	 	 	 	 	CFTR	1	
Cardiovascular Disease, Organismal Injury and Abnormalities	atherosclerosis	Initiation of atherosclerosis	3.16E-03	 	 	 	 	RAG1	1	
Embryonic Development, Organ Development, Organismal Development, Tissue Development	formation	Initiation of formation of Rathke's pouch	3.16E-03	 	 	 	 	BMP4	1	
Connective Tissue Disorders, Developmental Disorder, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	intellectual disability with episodic ataxia and congenital arthrogryposis	Intellectual disability with episodic ataxia and congenital arthrogryposis	3.16E-03	 	 	 	 	NALCN	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	internalization	Internalization of anandamide	3.16E-03	 	 	 	 	FAAH	1	
Cell Morphology, Hematological Disease, Hematopoiesis, Humoral Immune Response, Immunological Disease, Lymphoid Tissue Structure and Development	lack	Lack of transitional B lymphocytes	3.16E-03	 	 	 	 	TNFRSF13C	1	
Endocrine System Development and Function, Lipid Metabolism, Small Molecule Biochemistry	metabolism	Metabolism of anandamide	3.16E-03	 	 	 	 	FAAH	1	
Lipid Metabolism, Small Molecule Biochemistry	metabolism	Metabolism of eicosapentenoic acid	3.16E-03	 	 	 	 	CFTR	1	
Developmental Disorder, Hereditary Disorder, Ophthalmic Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	microphthalmia with limb anomalies	Microphthalmia with limb anomalies	3.16E-03	 	 	 	 	SMOC1	1	
Cellular Movement, Nervous System Development and Function	migration	Migration of neocortical neurons	3.16E-03	 	 	 	 	BMP4	1	
Cardiovascular System Development and Function, Tissue Morphology	morphology	Morphology of high endothelial postcapillary venule	3.16E-03	 	 	 	 	BMP4	1	
DNA Replication, Recombination, and Repair	mutagenesis	Mutagenesis of plasmid	3.16E-03	 	 	 	 	POLR2A	1	
Hematological Disease, Organismal Injury and Abnormalities, Renal and Urological Disease	neonatal hypertrypsinemia	Neonatal hypertrypsinemia	3.16E-03	 	 	 	 	CFTR	1	
Gastrointestinal Disease, Organismal Injury and Abnormalities	obstruction	Obstruction of interlobular duct	3.16E-03	 	 	 	 	CFTR	1	
Gastrointestinal Disease, Organismal Injury and Abnormalities	obstruction	Obstruction of intralobular duct	3.16E-03	 	 	 	 	CFTR	1	
Connective Tissue Disorders, Developmental Disorder, Gastrointestinal Disease, Hereditary Disorder, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	orofacial cleft 11	Orofacial cleft 11	3.16E-03	 	 	 	 	BMP4	1	
Cellular Movement, Nervous System Development and Function	pathfinding	Pathfinding of retinal axons	3.16E-03	 	 	 	 	SEMA5A	1	
Cell Cycle	premature senescence	Premature senescence of decidual cells	3.16E-03	 	 	 	 	FAAH	1	
Cellular Function and Maintenance, Cellular Growth and Proliferation, Nervous System Development and Function	production	Production of olfactory receptor neurons	3.16E-03	 	 	 	 	BMP4	1	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function	recognition	Recognition by cytotoxic T cells	3.16E-03	 	 	 	 	RAG1	1	
Cell-To-Cell Signaling and Interaction, Cellular Movement	recruitment	Recruitment of astrocytes	3.16E-03	 	 	 	 	Cdc42	1	
Cell Morphology, Hair and Skin Development and Function	regulatory volume decrease	Regulatory volume decrease of epithelial cell lines	3.16E-03	 	 	 	 	CFTR	1	
Lipid Metabolism, Small Molecule Biochemistry	retroconversion	Retroconversion of docosahexaenoic acid	3.16E-03	 	 	 	 	CFTR	1	
Endocrine System Disorders, Metabolic Disease, Organismal Injury and Abnormalities	Cushing syndrome	Severe Cushing syndrome	3.16E-03	 	 	 	 	SCG5	1	
Embryonic Development, Endocrine System Development and Function, Organ Development, Organ Morphology, Organismal Development, Tissue Development, Tissue Morphology	size	Size of adrenal cortex tissue	3.16E-03	 	 	 	 	SCG5	1	
Nervous System Development and Function	stellation	Stellation of eye cell lines	3.16E-03	 	 	 	 	S100B	1	
Nervous System Development and Function	stellation	Stellation of nervous tissue cell lines	3.16E-03	 	 	 	 	S100B	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders, Skeletal and Muscular Disorders	susceptibility to autosomal dominant Parkinson disease 5	Susceptibility to autosomal dominant Parkinson disease 5	3.16E-03	 	 	 	 	UCHL1	1	
Psychological Disorders	susceptibility to drug addiction	Susceptibility to drug addiction	3.16E-03	 	 	 	 	FAAH	1	
Endocrine System Disorders, Gastrointestinal Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	susceptibility to idiopathic pancreatitis	Susceptibility to idiopathic pancreatitis	3.16E-03	 	 	 	 	CFTR	1	
Metabolic Disease, Organismal Injury and Abnormalities	sweat chloride elevation without cystic fibrosis	Sweat chloride elevation without cystic fibrosis	3.16E-03	 	 	 	 	CFTR	1	
Developmental Disorder, Hereditary Disorder, Ophthalmic Disease, Organismal Injury and Abnormalities	syndromic microphthalmia 6	Syndromic microphthalmia 6	3.16E-03	 	 	 	 	BMP4	1	
Organ Morphology	thickening	Thickening of mucus	3.16E-03	 	 	 	 	CFTR	1	
Tissue Morphology	thickness	Thickness of interstitial tissue	3.16E-03	 	 	 	 	CFTR	1	
Embryonic Development	transport	Transport of embryo	3.16E-03	 	 	 	 	FAAH	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of anandamide	3.16E-03	 	 	 	 	FAAH	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of eicosapentenoic acid	3.16E-03	 	 	 	 	CFTR	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of linoleic acid	3.16E-03	 	 	 	 	CFTR	1	
Auditory Disease, Hereditary Disorder, Neurological Disease, Ophthalmic Disease, Organismal Injury and Abnormalities	Usher syndrome type 1G	Usher syndrome type 1G	3.16E-03	 	 	 	 	PCDH15	1	
Cellular Assembly and Organization, Neurological Disease, Tissue Morphology	vacuolar degeneration	Vacuolar degeneration of white matter	3.16E-03	 	 	 	 	LMNB1	1	
Hereditary Disorder, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	vacuolar myopathy with CASQ1 aggregates	Vacuolar myopathy with CASQ1 aggregates	3.16E-03	 	 	 	 	CASQ1	1	
Nervous System Development and Function	vestibulocollic reflex	Vestibulocollic reflex	3.16E-03	 	 	 	 	BMP4	1	
Digestive System Development and Function, Organ Morphology, Organismal Development	volume	Volume of pancreatic acinus	3.16E-03	 	 	 	 	CFTR	1	
Developmental Disorder, Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders, Skeletal and Muscular Disorders	Worster Drought syndrome	Worster Drought syndrome	3.16E-03	 	 	 	 	TMTC4	1	
Embryonic Development, Organ Development, Organismal Development, Respiratory System Development and Function, Tissue Development	development	Development of nose	3.52E-03	 	 	 	 	BMP4,NCAM2	2	
Digestive System Development and Function, Organ Development	function	Function of intestine	3.52E-03	 	 	 	 	CFTR,LGALS2	2	
Embryonic Development, Organ Development, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	formation	Formation of muscle	3.57E-03	 	 	 	 	LMNB1,UCHL1,BMP4,CASQ1,S100B,IL17B	6	
Auditory and Vestibular System Development and Function, Embryonic Development, Organ Development, Organismal Development, Tissue Development	development	Development of ear	3.71E-03	 	 	 	 	BMP4,EYA4,PCDH15,ATP8A2	4	
Nervous System Development and Function	morphology	Morphology of nervous system	3.74E-03	 	 	 	 	RAG1,GPR85,LMNB1,Cdc42,BMP4,SCG5,PCDH15,NCAM2,ATP8A2,S100B,SEMA5A	11	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	abnormal morphology	Abnormal morphology of inner nuclear layer	3.77E-03	 	 	 	 	BMP4,SEMA5A	2	
Cell Morphology, Cellular Development	branching	Branching of cells	3.84E-03	Increased	2.412	bias	1.446	LMNB1,UCHL1,Cdc42,BMP4,NCAM2,S100B	6	
Embryonic Development, Nervous System Development and Function, Neurological Disease, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	abnormal morphology	Abnormal morphology of neurosensory retina	4.11E-03	 	 	 	 	BMP4,ATP8A2,SEMA5A	3	
Cellular Assembly and Organization, Cellular Function and Maintenance	organization	Organization of actin filaments	4.11E-03	 	 	 	 	Cdc42,PCDH15,LCP1	3	
Cellular Function and Maintenance	movement	Movement of organelle	4.34E-03	 	 	 	 	LMNB1,Cdc42,SPEF2	3	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	abnormal morphology	Abnormal morphology of retinal layer	4.70E-03	 	 	 	 	BMP4,ATP8A2,SEMA5A	3	
Molecular Transport	transport	Transport of bicarbonate	4.87E-03	 	 	 	 	CYB5R2,CFTR	2	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	abnormal morphology	Abnormal morphology of retina	4.87E-03	 	 	 	 	RAG1,BMP4,ATP8A2,SEMA5A	4	
Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization	cell-cell adhesion	Cell-cell adhesion	5.45E-03	 	 	 	 	Cdc42,NCAM2,LGALS2,CADM3	4	
Embryonic Development, Organismal Development, Tissue Development	branching morphogenesis	Branching morphogenesis of epithelial tubule	5.46E-03	 	 	 	 	BMP4,SEMA5A	2	
Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization, Cellular Function and Maintenance	organization	Organization of adherens junctions	5.46E-03	 	 	 	 	Cdc42,CADM3	2	
Nervous System Development and Function	electrophysiology	Electrophysiology of eye	5.61E-03	 	 	 	 	BMP4,ATP8A2,SEMA5A	3	
Embryonic Development, Nervous System Development and Function, Neurological Disease, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	abnormal morphology	Abnormal morphology of ganglion cell layer	5.77E-03	 	 	 	 	BMP4,SEMA5A	2	
Cell Morphology, Cellular Assembly and Organization, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Nervous System Development and Function, Organismal Development, Tissue Development	branching	Branching of neurites	5.93E-03	Increased	2.200	bias	1.286	LMNB1,UCHL1,Cdc42,NCAM2,S100B	5	
Digestive System Development and Function, Gastrointestinal Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of small cecum	6.32E-03	 	 	 	 	CFTR	1	
Respiratory Disease	vital capacity	Abnormal vital capacity	6.32E-03	 	 	 	 	CFTR	1	
Cell Morphology, Cellular Assembly and Organization	accumulation	Accumulation of synaptic vesicles	6.32E-03	 	 	 	 	UCHL1	1	
Cell-To-Cell Signaling and Interaction, Cellular Compromise, Tumor Morphology	adhesion	Adhesion of ovarian cancer cells	6.32E-03	 	 	 	 	BMP4	1	
Cell Death and Survival	apoptosis	Apoptosis of stromal fibroblast cells	6.32E-03	 	 	 	 	BMP4	1	
Cell Cycle	cell cycle progression	Arrest in cell cycle progression of myeloma cell lines	6.32E-03	 	 	 	 	BMP4	1	
Cell-To-Cell Signaling and Interaction	binding	Binding of Pseudomonas aeruginosa	6.32E-03	 	 	 	 	CFTR	1	
Cell Morphology, Organismal Injury and Abnormalities	blebbing	Blebbing of nucleus	6.32E-03	 	 	 	 	LMNB1	1	
Cell Morphology, Cellular Development	branching	Branching of astrocytes	6.32E-03	 	 	 	 	BMP4	1	
Inflammatory Response	colitis related systemic inflammation	Colitis related systemic inflammation	6.32E-03	 	 	 	 	FAAH	1	
Developmental Disorder, Hereditary Disorder, Immunological Disease, Metabolic Disease, Organismal Injury and Abnormalities	combined cellular and humoral immune defects with granulomas	Combined cellular and humoral immune defects with granulomas	6.32E-03	 	 	 	 	RAG1	1	
Cellular Development	commitment	Commitment of embryonic cell lines	6.32E-03	 	 	 	 	BMP4	1	
Cellular Development	commitment	Commitment of fibroblast cell lines	6.32E-03	 	 	 	 	BMP4	1	
Developmental Disorder, Endocrine System Disorders, Organismal Injury and Abnormalities, Reproductive System Disease	congenital bilateral aplasia of vas deferens	Congenital bilateral aplasia of vas deferens	6.32E-03	 	 	 	 	CFTR	1	
Lipid Metabolism, Small Molecule Biochemistry	conversion	Conversion of linoleic acid	6.32E-03	 	 	 	 	CFTR	1	
Cell Cycle, Cellular Development, Respiratory System Development and Function	senescence	Delay in initiation of senescence of lung cell lines	6.32E-03	 	 	 	 	LMNB1	1	
Cardiovascular System Development and Function, Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Organ Development, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	development	Development of vascular smooth muscle cells	6.32E-03	 	 	 	 	LMNB1	1	
Cellular Development, Endocrine System Development and Function	differentiation	Differentiation of chromaffin cells	6.32E-03	 	 	 	 	INSM1	1	
Auditory Disease, Hereditary Disorder, Neurological Disease, Ophthalmic Disease, Organismal Injury and Abnormalities	digenic Usher syndrome type 1D/F	Digenic Usher syndrome type 1D/F	6.32E-03	 	 	 	 	PCDH15	1	
Cellular Compromise, Neurological Disease, Ophthalmic Disease, Organismal Injury and Abnormalities	dysfunction	Dysfunction of retinal ganglion cells	6.32E-03	 	 	 	 	SEMA5A	1	
Gastrointestinal Disease, Hematological Disease, Hepatic System Disease, Immunological Disease, Organismal Injury and Abnormalities	eosinophilia	Eosinophilia of liver	6.32E-03	 	 	 	 	RAG1	1	
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Nervous System Development and Function	excitation	Excitation of dopaminergic neurons	6.32E-03	 	 	 	 	FAAH	1	
Organismal Injury and Abnormalities	fibrosis	Fibrosis of submesothelial compact zone	6.32E-03	 	 	 	 	RAG1	1	
Embryonic Development, Organismal Development, Tissue Development	formation	Formation of allantois	6.32E-03	 	 	 	 	BMP4	1	
Embryonic Development, Organismal Development, Tissue Development	formation	Formation of primitive node	6.32E-03	 	 	 	 	BMP4	1	
Cell Death and Survival	fragmentation	Fragmentation of megakaryocytes	6.32E-03	 	 	 	 	Cdc42	1	
Lipid Metabolism, Small Molecule Biochemistry	hydrolysis	Hydrolysis of anandamide	6.32E-03	 	 	 	 	FAAH	1	
Hereditary Disorder, Ophthalmic Disease, Organismal Injury and Abnormalities	hydrophthalmos	Hydrophthalmos	6.32E-03	 	 	 	 	BMP4	1	
Lipid Metabolism, Small Molecule Biochemistry	incorporation	Incorporation of linoleic acid	6.32E-03	 	 	 	 	CFTR	1	
Cell-To-Cell Signaling and Interaction, Respiratory System Development and Function	intercellular communication	Intercellular communication of airway epithelial cells	6.32E-03	 	 	 	 	CFTR	1	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	lack	Lack of sinus venosus sclerae	6.32E-03	 	 	 	 	BMP4	1	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	lack	Lack of trabecular reticulum	6.32E-03	 	 	 	 	BMP4	1	
Cellular Development	lifespan	Lifespan of blood platelets	6.32E-03	 	 	 	 	Cdc42	1	
Cellular Function and Maintenance, Cellular Movement, Hematological System Development and Function, Humoral Immune Response, Immune Cell Trafficking, Lymphoid Tissue Structure and Development	localization	Localization of follicular B lymphocytes	6.32E-03	 	 	 	 	TNFRSF13C	1	
Cell Death and Survival, Cell Morphology, Hematological System Development and Function, Humoral Immune Response, Immunological Disease, Lymphoid Tissue Structure and Development, Tissue Morphology	loss	Loss of marginal-zone B lymphocytes	6.32E-03	 	 	 	 	LCP1	1	
Cell Death and Survival, Cell Morphology, Hematopoiesis	loss	Loss of multipotential hemopoietic progenitor cells	6.32E-03	 	 	 	 	RAG1	1	
Gastrointestinal Disease, Organismal Injury and Abnormalities	meconium ileus	Meconium ileus	6.32E-03	 	 	 	 	CFTR	1	
Cellular Movement	migration	Migration of epicardial cells	6.32E-03	 	 	 	 	LMNB1	1	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	opacity	Opacity of vitreous body	6.32E-03	 	 	 	 	BMP4	1	
Embryonic Development, Organismal Development, Tissue Development, Tissue Morphology	outgrowth	Outgrowth of genital tubercle	6.32E-03	 	 	 	 	BMP4	1	
Cell Morphology	polarity	Polarity of neutrophils	6.32E-03	 	 	 	 	Cdc42	1	
Cell Morphology	polarization	Polarization of fibroblasts	6.32E-03	 	 	 	 	Cdc42	1	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Tissue Development	proliferation	Proliferation of stromal fibroblast cells	6.32E-03	 	 	 	 	BMP4	1	
Cardiovascular Disease, Organismal Injury and Abnormalities, Tissue Morphology	quantity	Quantity of fibrous plaque	6.32E-03	 	 	 	 	RAG1	1	
Cell Cycle	quiescence	Quiescence of stem cell lines	6.32E-03	 	 	 	 	BMP4	1	
Nervous System Development and Function	stellation	Stellation of tumor cell lines	6.32E-03	 	 	 	 	S100B	1	
Cell Morphology, Cellular Development, Embryonic Development, Nervous System Development and Function, Tissue Development	stratification	Stratification of neurons	6.32E-03	 	 	 	 	LMNB1	1	
Cell Death and Survival, Nervous System Development and Function	survival	Survival of olfactory receptor neurons	6.32E-03	 	 	 	 	BMP4	1	
Gene Expression	transcription	Transcription of U1 snRNA	6.32E-03	 	 	 	 	POLR2A	1	
Cancer, Embryonic Development, Organismal Injury and Abnormalities	transformation	Transformation of embryonic stem cells	6.32E-03	 	 	 	 	BMP4	1	
Cancer, Embryonic Development	transformation	Transformation of otic placode	6.32E-03	 	 	 	 	BMP4	1	
Cancer, Embryonic Development	transformation	Transformation of preplacodal ectoderm	6.32E-03	 	 	 	 	BMP4	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of docosahexaenoic acid	6.32E-03	 	 	 	 	CFTR	1	
Cell Morphology, Hematological Disease, Humoral Immune Response, Immunological Disease, Lymphoid Tissue Structure and Development	lack	Lack of B lymphocytes	6.42E-03	 	 	 	 	RAG1,TNFRSF13C	2	
Respiratory Disease, Respiratory System Development and Function	abnormal morphology	Abnormal morphology of respiratory system	6.71E-03	 	 	 	 	RAG1,LMNB1,INSM1,BMP4,CFTR	5	
Cellular Assembly and Organization	formation	Formation of actin bundles	6.75E-03	 	 	 	 	PCDH15,LCP1	2	
Embryonic Development, Organ Development, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	formation	Formation of smooth muscle	6.75E-03	 	 	 	 	LMNB1,BMP4	2	
Cellular Assembly and Organization, Cellular Function and Maintenance	organization	Organization of filaments	7.03E-03	 	 	 	 	Cdc42,PCDH15,ATP8A2,LCP1	4	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Humoral Immune Response, Lymphoid Tissue Structure and Development	expansion	Expansion of B lymphocytes	7.09E-03	 	 	 	 	TNFRSF13C,LCP1	2	
Cardiovascular System Development and Function, Cell-To-Cell Signaling and Interaction	adhesion	Adhesion of endothelial cell lines	7.44E-03	 	 	 	 	LGALS2,IL17B	2	
Cellular Compromise	disassembly	Disassembly of actin filaments	7.44E-03	 	 	 	 	S100B,SEMA5A	2	
Cellular Development, Hematological System Development and Function, Lymphoid Tissue Structure and Development	maturation	Maturation of B lymphocytes	7.44E-03	 	 	 	 	TNFRSF13C,LCP1	2	
Endocrine System Development and Function, Endocrine System Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Reproductive System Disease	abnormal morphology	Abnormal morphology of pituitary gland	7.80E-03	 	 	 	 	BMP4,SCG5	2	
Nervous System Development and Function	fasciculation	Fasciculation of neurons	7.80E-03	 	 	 	 	BMP4,SEMA5A	2	
Nervous System Development and Function	sensation	Sensation	7.87E-03	 	 	 	 	UCHL1,BMP4,EYA4,PCDH15,FAAH	5	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of B lymphocytes	7.98E-03	 	 	 	 	RAG1,TNFRSF13C,ZBTB1,LCP1	4	
Developmental Disorder, Endocrine System Disorders, Organismal Injury and Abnormalities, Reproductive System Disease	congenital anomaly of testis	Congenital anomaly of testis	8.91E-03	 	 	 	 	SCG5,CFTR	2	
Cell Morphology, Nervous System Development and Function	morphology	Morphology of astrocytes	8.91E-03	 	 	 	 	BMP4,S100B	2	
Respiratory System Development and Function	morphology	Morphology of respiratory tract	9.01E-03	 	 	 	 	LMNB1,INSM1,BMP4,CFTR	4	
Cardiovascular System Development and Function, Organismal Development	patterning	Patterning of blood vessel	9.30E-03	 	 	 	 	BMP4,SEMA5A	2	
Embryonic Development, Nervous System Development and Function, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	induction	Abnormal induction of lens	9.46E-03	 	 	 	 	BMP4	1	
Digestive System Development and Function, Endocrine System Disorders, Gastrointestinal Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of dilated pancreatic duct	9.46E-03	 	 	 	 	CFTR	1	
Developmental Disorder, Hereditary Disorder, Immunological Disease, Metabolic Disease, Organismal Injury and Abnormalities	Omenn syndrome	Autosomal recessive Omenn syndrome	9.46E-03	 	 	 	 	RAG1	1	
Respiratory Disease	bronchiectasis type 1	Bronchiectasis type 1	9.46E-03	 	 	 	 	CFTR	1	
Cell Morphology, Cellular Movement, Embryonic Development	cell spreading	Cell spreading of trophoblast cells	9.46E-03	 	 	 	 	FAAH	1	
Molecular Transport	co-transport	Co-transport of phosphate	9.46E-03	 	 	 	 	SLC34A3	1	
Cellular Development, Embryonic Development	commitment	Commitment of mesodermal cells	9.46E-03	 	 	 	 	BMP4	1	
