© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Workspace	My Projects
Project	hd_microarray
Analysis	Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Date	Mon Jan 20 14:26:17 PST 2020
Analysis ID	18745379

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Human Gene 2.0 ST Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Protein Kinase A Signaling	4E-01		2.61E-03	H1-5	
Molecular Mechanisms of Cancer	4.02E-01		2.63E-03	LRP1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.87E-01		3.36E-03	LRP1	
Neuroinflammation Signaling Pathway	4.98E-01		3.46E-03	GAD2	
Sirtuin Signaling Pathway	5.13E-01		3.61E-03	H1-5	
Colorectal Cancer Metastasis Signaling	5.58E-01		4.08E-03	LRP1	
Sperm Motility	6.12E-01		4.72E-03	DDR2	
Actin Cytoskeleton Signaling	6.18E-01		4.78E-03	TIAM1	
Superpathway of Inositol Phosphate Compounds	6.54E-01		5.26E-03	NUDT11	
NRF2-mediated Oxidative Stress Response	6.64E-01		5.41E-03	HERPUD1	
Wnt/β-catenin Signaling	6.97E-01		5.88E-03	LRP1	
Tight Junction Signaling	7.04E-01		5.99E-03	TIAM1	
Dendritic Cell Maturation	7.06E-01		6.02E-03	DDR2	
3-phosphoinositide Biosynthesis	7.26E-01		6.33E-03	NUDT11	
D-myo-inositol-5-phosphate Metabolism	7.49E-01		6.71E-03	NUDT11	
3-phosphoinositide Degradation	7.52E-01		6.76E-03	NUDT11	
Endocannabinoid Cancer Inhibition Pathway	7.71E-01		7.09E-03	NUPR1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
Iron homeostasis signaling pathway	8.06E-01		7.75E-03	LRP1	
IL-15 Production	8.42E-01		8.47E-03	DDR2	
Endocannabinoid Developing Neuron Pathway	8.52E-01		8.70E-03	STMN2	
Rac Signaling	8.74E-01		9.17E-03	TIAM1	
Type I Diabetes Mellitus Signaling	9.01E-01		9.80E-03	GAD2	
GABA Receptor Signaling	9.34E-01		1.06E-02	GAD2	
Factors Promoting Cardiogenesis in Vertebrates	9.52E-01		1.11E-02	LRP1	
Synaptogenesis Signaling Pathway	1.22E00		6.56E-03	LRP1,TIAM1	
Inhibition of Matrix Metalloproteases	1.31E00		2.63E-02	LRP1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.5E00		9.35E-03	DLX5,LRP1	
Granzyme A Signaling	1.66E00		5.88E-02	H1-5	
Glutamate Degradation III (via 4-aminobutyrate)	2.18E00		2.00E-01	GAD2	
Glutamate Dependent Acid Resistance	2.58E00		5.00E-01	GAD2	
Osteoarthritis Pathway	2.64E00		1.49E-02	DDR2,DLX5,LRP1	

Upstream Regulators for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Analysis	ID	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	mifepristone	 	chemical drug	 	 	 	 	 	4.11E-02	LRP1,TAC3	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	MIR124	 	group	 	 	 	 	 	4.12E-02	DLX5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	PRL	 	cytokine	 	 	 	 	 	4.23E-02	HERPUD1,NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	BMPR1A	 	kinase	 	 	 	 	 	4.24E-02	DLX5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	bardoxolone	 	chemical drug	 	 	 	 	 	4.24E-02	HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	ACVR1	 	kinase	 	 	 	 	 	4.49E-02	DLX5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	CRNDE	 	other	 	 	 	 	 	4.49E-02	TIAM1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	DMP1	 	other	 	 	 	 	 	4.49E-02	DLX5	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	SP600125	 	chemical - kinase inhibitor	 	 	 	 	 	4.50E-02	H2BC10,NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	Ins1	 	other	 	 	 	 	 	4.59E-02	DLX5,LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	Collagen(s)	 	complex	 	 	 	 	 	4.61E-02	HERPUD1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	MEOX2	 	transcription regulator	 	 	 	 	 	4.61E-02	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	Irgm1	 	other	 	 	 	 	 	4.73E-02	NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	NEDD9	 	other	 	 	 	 	 	4.73E-02	LRP1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	NR1D1	 	ligand-dependent nuclear receptor	 	 	 	 	 	4.73E-02	NUPR1	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	Laminin (complex)	 	complex	 	 	 	 	 	4.85E-02	STMN2	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	Tcf7	 	transcription regulator	 	 	 	 	 	4.85E-02	BCL11B	 	
Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM	 	EHMT2	 	transcription regulator	 	 	 	 	 	4.97E-02	STMN2	 	

Causal Networks for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Master Regulator	Molecule Type	Expr Log Ratio	Depth	Predicted Activation State	Notes	Activation z-score	p-value of overlap	Network bias-corrected p-value	Participating regulators	Target molecules in dataset	Causal network	Target-connected regulators	Relationships Between Master Regulators(Increases/Downstream)	Relationships Between Master Regulators(Decreases/Downstream)	Relationships Between Master Regulators(Affects/Downstream)	Relationships Between Master Regulators(Increases/Upstream)	Relationships Between Master Regulators(Decreases/Upstream)	Relationships Between Master Regulators(Affects/Upstream)	Relationships Between Master Regulators(Increases/Both)	Relationships Between Master Regulators(Decreases/Both)	Relationships Between Master Regulators(Affects/Both)	
ATF4	transcription regulator	 	1	Activated	 	2.000	1.88E-05	2.00E-04	ATF4	DDR2,HERPUD1,NUPR1,SLC7A3	4 (1)	1	A2M,APP,CNB-001,Collagen(s),PRNP,rotenone,STAT4	CREBZF,TFRC	 	KLF4,PSEN1,SEL1L	Ins1	 	 	 	 	
NBR1	other	 	3	 	 	-1.291	2.04E-05	3.00E-03	caspase,CCND1,GATA3,GLI1,IFNG,IL6,Mek,NBR1,NFkB (complex),NPAT,STAT4,STMN1,TP53	BCL11B,DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	15 (13)	12	 	APP	 	 	 	 	 	 	 	
ERC1	other	 	3	Inhibited	 	-3.051	2.53E-05	1.80E-03	caspase,CCND1,EPAS1,ERC1,GLI1,IKBKB,IKBKG,IL1B,IL6,Mek,NFkB (complex),STAT4,TP53,TP73	DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	13 (14)	11	 	 	 	NFkB (complex)	 	 	 	 	 	
COMMD7	other	 	3	Activated	 	2.496	5.44E-05	5.90E-03	caspase,CCND1,COMMD7,GATA3,IL1B,IL6,MAPK1,Mek,NFkB (complex),NFKB1,STAT4,TP53	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,STMN2,TIAM1,TMSB15A	13 (12)	10	APP	 	 	 	NFkB (complex)	 	 	 	 	
cyclopentenone	chemical reagent	 	3	Activated	 	2.496	5.47E-05	5.90E-03	caspase,CCND1,cyclopentenone,GATA3,IL1B,IL6,MAPK1,Mek,NFkB (complex),NFKB1,STAT4,TP53	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,STMN2,TIAM1,TMSB15A	13 (12)	10	 	 	 	 	NFkB (complex)	 	 	 	 	
FOXC1	transcription regulator	 	3	Inhibited	 	-2.496	5.62E-05	5.90E-03	caspase,CCND1,FOXC1,GATA3,IL1B,IL6,MAPK1,Mek,NFkB (complex),NFKB1,STAT4,TP53	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,STMN2,TIAM1,TMSB15A	13 (12)	10	 	SP2509,tazemetostat	 	CXCR4,EFNB2,NFkB (complex)	 	 	 	 	 	
cytokine	group	 	2	 	 	-0.302	5.67E-05	4.30E-03	cytokine,DDIT3,IL1B,MAPK1,NFkB (complex),Pkc(s),RAF1,STAT4,STAT5B	BCL11B,DDR2,GAD2,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1	11 (9)	8	ELANE,Ifn,KLF4,Lymphotoxin	HFE,histamine,mifepristone,prednisolone,RELB,vitamin D,vitamin E	 	STAT4	 	 	 	 	 	
Nr1h	group	 	3	Activated	 	3.051	6.22E-05	5.20E-03	Ap1,caspase,CCND1,CETP,CTNNB1,DAB1,Gli,GLI1,IL1B,IL2,IL6,LDLR,MAP2K1/2,Mek,NFkB (complex),NOS3,Nr1h,NR1H3,SREBF1,STAT4,TP53	DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	13 (21)	14	 	methylene blue	 	CETP,SCD	CCR5,LTB,NFkB (complex),phosphatidylserine,THBS1	 	 	 	 	
WSX1-gp130	complex	 	3	 	 	0.577	8.39E-05	7.50E-03	EGFR,GATA3,IFNG,IL6,IL6ST,JAK1,JAK2,NFkB (complex),RAF1,SIRT1,STAT4,STAT5B,WSX1-gp130	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,PDZRN3,RBM5-AS1,SCGN,TIAM1	12 (13)	9	 	 	 	STAT4	 	 	 	 	 	
GSR	enzyme	 	3	Inhibited	 	-3.051	1.03E-04	7.10E-03	caspase,CCND1,GLI1,GSR,IKBKB,IL1B,IL6,Mek,NFkB (complex),STAT4,TP53,TP73	DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	13 (12)	10	APP,bardoxolone	acetaminophen,CXCL12,methylene blue	 	NFkB (complex)	 	 	 	 	 	
NMRAL1	other	 	3	Activated	 	3.051	1.03E-04	7.10E-03	caspase,CCND1,GLI1,IKBKB,IL1B,IL6,Mek,NFkB (complex),NMRAL1,STAT4,TP53,TP73	DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	13 (12)	10	 	 	 	 	NFkB (complex)	 	 	 	 	
alpha,beta-methyleneadenosine 5'-triphosphate	chemical reagent	 	3	 	 	-1.508	1.29E-04	4.90E-03	alpha,beta-methyleneadenosine 5'-triphosphate,caspase,CCND1,CDH5,GLI1,IKBKB,IKBKE,IL1B,IL6,MAP2K1/2,Mek,Mlc,NFkB (complex),STAT4	DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,PDZRN3,RBM5-AS1,STMN2,TIAM1	11 (14)	10	 	 	 	NFkB (complex)	 	 	 	 	 	
romidepsin	biologic drug	 	3	Inhibited	 	-2.138	1.31E-04	5.60E-03	decitabine,E2F3,GATA1,GLI1,HDAC1,HDAC5,IL1B,MAP2K1/2,Mek,NFkB (complex),NPAT,reactive oxygen species,romidepsin,SIRT1,TNF,TP53	DDR2,GAD2,H1-5,HERPUD1,KCND3,NEAT1,NUPR1,PDZRN3,RBM5-AS1,SCGN,STMN2,TAC3,TIAM1,TMSB15A	14 (16)	12	 	 	 	NFkB (complex)	 	 	 	 	 	
PPIF	enzyme	 	1	 	 	-0.577	1.40E-04	4.00E-04	PPIF	H2BC10,PDZRN3,STMN2	3 (1)	1	NFkB (complex)	 	 	CCR5	CXCL12,CXCR4	 	 	 	 	
APR-246	chemical drug	 	1	 	 	-1.414	1.40E-04	1.00E-04	APR-246	DLX5,DLX6	2 (1)	1	 	 	 	DLX5	 	 	 	 	 	
fibric acid derivative	chemical drug	 	3	Activated	 	2.309	1.49E-04	1.04E-02	caspase,CCND1,fibric acid derivative,IL1B,IL6,NFkB (complex),PPARA,STAT4,STAT5B,TP53	DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (10)	8	 	 	 	HDL-cholesterol,SCD	NFkB (complex)	 	 	 	 	
RELB	transcription regulator	 	3	Inhibited	 	-2.309	1.62E-04	1.00E-02	caspase,CCND1,IL1B,IL6,NFkB (complex),Pkc(s),RELB,Sod,STAT4,TP53	BCL11B,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (10)	8	MBD2,RELA	 	 	STAT4	CXCL12,cytokine	 	 	 	 	
aurapten	chemical - endogenous non-mammalian	 	3	Activated	 	2.309	1.92E-04	1.17E-02	aurapten,caspase,CCND1,IL1B,IL6,NFkB (complex),PPARA,STAT4,STAT5B,TP53	DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (10)	8	 	 	 	 	NFkB (complex)	 	 	 	 	
miR-515-3p (and other miRNAs w/seed AGUGCCU)	mature microRNA	 	3	Activated	 	2.887	1.95E-04	1.15E-02	caspase,CCND1,IL1B,IL6,miR-515-3p (and other miRNAs w/seed AGUGCCU),NFkB (complex),STAT4,TP53	BCL11B,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (8)	8	 	 	 	 	NFkB (complex)	 	 	 	 	
histamine	chemical - endogenous mammalian	 	2	 	 	-0.302	1.98E-04	1.39E-02	CDH5,CREB1,CTNNB1,EGFR,histamine,IFNG,IL2,MAPK1,NFkB (complex),Pkc(s),PTGS2,TNF	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,NEAT1,NUPR1,RBM5-AS1,TIAM1,TMSB15A	11 (12)	11	CASP1	 	 	CDH5,CGA,CXCR4,NFkB (complex)	cytokine	 	 	 	 	
PPP4R3A	other	 	3	Inhibited	 	-2.887	2.01E-04	1.14E-02	caspase,CCND1,IL1B,IL6,NFkB (complex),PPP4R3A,STAT4,TP53	BCL11B,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (8)	8	 	 	 	DLX1,DLX2,NFkB (complex)	 	 	 	 	 	
DLX2	transcription regulator	 	1	 	 	-1.414	2.09E-04	3.00E-04	DLX2	DLX5,GAD2	2 (1)	1	BMP4,PPP4R3A,PPP4R3B	 	 	CGA,DLX5	 	 	 	 	 	
E 3330	chemical drug	 	3	Activated	 	2.887	2.18E-04	1.31E-02	APEX1,caspase,CCND1,E 3330,IL1B,IL6,NFkB (complex),SIRT1,STAT4,TP53	DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,SCGN,STMN2,TIAM1,TMSB15A	12 (10)	8	 	 	 	 	NFkB (complex)	 	 	 	 	
Adora3/LOC100911796	G-protein coupled receptor	 	3	Activated	 	2.887	2.47E-04	1.48E-02	Adora3/LOC100911796,caspase,CCND1,EGFR,IL1B,IL6,NFkB (complex),NRAS,Pkc(s),Plc beta,STAT4,TP53	BCL11B,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (12)	10	 	caffeine,theophylline	 	 	NFkB (complex)	 	 	 	 	
phenylhydrazine	chemical toxicant	 	3	 	 	-1.000	2.55E-04	7.60E-03	ALOX12,CASP8,caspase,CREB1,CTNNB1,IL1B,LOX,MAPK1,NFkB (complex),phenylhydrazine,Pkc(s)	BCL11B,GAD2,HERPUD1,KCND3,NEAT1,NUPR1,RBM5-AS1,STMN2,TMSB15A	9 (11)	7	 	 	 	CASP8	 	 	 	 	 	
DDB2	other	 	3	 	 	0.302	2.63E-04	9.10E-03	CDKN1A,DDB2,GATA3,IL1B,IL6,Mek,NFkB (complex),NPAT,PARP1,STAT4	BCL11B,DDR2,DLX5,GAD2,H1-5,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2,TMSB15A	11 (10)	8	 	 	 	 	NFkB (complex)	 	 	 	 	
TIGAR	enzyme	 	3	Activated	 	2.887	2.76E-04	1.42E-02	CCND1,EPAS1,GLI1,IKBKB,IKBKG,IL1B,IL6,Mek,NFkB (complex),NFKBIA,PTGS2,STAT4,TIGAR,TP53,TP73	DDR2,DLX5,GAD2,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (15)	11	 	 	 	 	NFkB (complex),RELA,TNFAIP3	 	 	 	 	
SETD6	enzyme	 	3	Activated	 	2.496	2.84E-04	1.58E-02	caspase,CCND1,CTNNB1,ESR1,IL1B,IL6,MAVS,MYC,NFkB (complex),PLK1,SETD6,SNCA,STAT4,TP53	BCL11B,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	13 (14)	12	 	 	 	 	NFkB (complex)	 	 	 	 	
mir-15	microRNA	 	3	Activated	 	2.887	2.95E-04	1.40E-02	AR,BCL2,CASP3,caspase,CCND1,IL1B,IL6,MAPK1,MCL1,Mek,mir-15,NFkB (complex),Pkc(s),STAT4,TP53	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,STMN2,TIAM1	12 (15)	11	NCL,potassium chloride	acetaminophen,SP600125	 	RELA	APP,NFkB (complex)	 	 	 	 	
SHIP	group	 	3	Activated	 	2.309	3.02E-04	1.88E-02	caspase,CCND1,EGFR,IL1B,IL6,INPPL1,NFkB (complex),phosphatidylinositol-3,4,5-triphosphate,Pkc(s),SHIP,STAT4,TP53	BCL11B,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (12)	9	 	 	 	 	NFkB (complex)	 	 	 	 	
leptomycin B	chemical drug	 	3	 	 	1.732	3.16E-04	1.13E-02	AMPK,caspase,CCND1,CXCR4,FGF1,HIF1A,IL1B,IL6,leptomycin B,MAP2K1/2,Mek,NFkB (complex),PGR,PTGS2,RAF1,SIRT1,STAT4,STAT5B	DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,PDZRN3,RBM5-AS1,SCGN,STMN2,TIAM1	12 (18)	13	 	 	 	 	NFkB (complex)	 	 	 	 	
CXCL12	cytokine	 	2	 	 	-0.577	3.19E-04	2.26E-02	APC,CREB1,CXCL12,EGFR,EPHB2,ESR1,ESR2,MAPK1,Mek,NFkB (complex),Pkc(s),STAT5B	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1B,NUPR1,PDZRN3,STMN2,TIAM1,TMSB15A	12 (12)	12	CCR5,CTR9,IL1R1	APP,clopidogrel,PPIF,RELB	 	DLX5,EPHB2,RELA,STAT4,THBS1	DPP4,GSR	 	 	 	 	
CYP2C19	enzyme	 	3	Activated	 	2.530	3.30E-04	1.60E-02	clopidogrel,CTNNB1,CYP2C19,diclofenac,DPP4,NFkB (complex),PTGS2,testosterone,thalidomide,TNF	DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,TAC3,TMSB15A	10 (10)	7	 	mifepristone	 	clopidogrel,diclofenac	 	 	 	 	 	
RELA	transcription regulator	 	3	 	 	-1.155	3.38E-04	6.90E-03	Akt,ALDH2,Ap1,APP,ARNT,ESR2,GATA1,IL1B,IL2,JUN,MAPK8,NFkB (complex),NR3C1,RELA,RXRA,SIRT1,STAT4,STAT5a/b,STAT5B,STMN1,TWIST1	DDR2,GAD2,KCND3,LRP1,LRP1B,NEAT1,PDZRN3,RBM5-AS1,SCGN,SLC7A3,STMN2,TAC3	12 (21)	12	acetaldehyde,acetaminophen,androstenediol,atypical protein kinase C,Bvr,Collagen(s),CXCL12,daunorubicin,DHX9,ELANE,entinostat,FAM20C,IL1R1,mir-15,potassium chloride,PRNP,RNF34	COMMD1,mifepristone,mir-31,MIR124,PLCG1,prednisolone,RORA,SP600125,TIGAR,TRIB3,USP20,vitamin E,zVAD	 	CXCR4,Ifn,NAMPT,RELB	A2M,CASP8,DDIT3	 	 	 	 	
isatin	chemical - endogenous mammalian	 	3	Inhibited	 	-2.530	3.38E-04	9.90E-03	caspase,CCND1,IL1B,IL6,isatin,NFkB (complex),Pkc(s),Sod,STAT4	BCL11B,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2,TIAM1	10 (9)	7	 	 	 	NFkB (complex)	 	 	 	 	 	
FOXP1	transcription regulator	 	3	 	 	-0.277	3.50E-04	1.37E-02	caspase,FOXP1,GATA1,GZMB,IFNG,IL1B,JUN,MYC,NFkB (complex),Pkc(s),RAF1,STAT5B,TGFB1	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TAC3,TIAM1	13 (13)	10	 	 	 	 	 	 	 	 	 	
DHX9	enzyme	 	3	Inhibited	 	-2.309	3.81E-04	2.09E-02	caspase,CCND1,DHX9,GATA3,IL1B,IL6,Mek,NFkB (complex),NFKB1,STAT4,TP53,WRN	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (12)	9	 	 	 	Ifn,NFkB (complex),RELA	 	 	 	 	 	
RV 538	chemical reagent	 	3	 	 	1.508	3.84E-04	3.00E-03	AKT1,Betacatenin/TCF,EGFR,ERK1/2,ESR2,GATA1,Gsk3,GSK3B,IL1B,IL6,MAPK8,Mek,NFkB (complex),PTGS2,RV 538,SIRT1,STAT5B,TNF,TWIST1	DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1B,NEAT1,PDZRN3,RBM5-AS1,SCGN,TAC3	11 (19)	13	 	 	 	 	NFkB (complex),PRNP	 	 	 	 	
navitoclax	chemical drug	 	3	 	 	-0.333	3.86E-04	1.27E-02	AR,BCL2,CASP8,caspase,IL1B,MAPK1,Mek,navitoclax,NFkB (complex),PARP1	DDR2,GAD2,HERPUD1,KCND3,NEAT1,NUPR1,RBM5-AS1,STMN2,TMSB15A	9 (10)	7	 	 	 	CASP8	 	 	 	 	 	
COMMD1	transporter	 	3	Activated	 	2.111	3.96E-04	1.22E-02	caspase,CCND1,COMMD1,CXCR4,GATA3,HIF1A,IL1B,IL6,Mek,NFkB (complex),NFKB1,STAT4	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2,TIAM1	11 (12)	9	 	 	 	 	copper,NFkB (complex),RELA,TFRC	 	 	 	 	
OTUB1	enzyme	 	3	 	 	1.069	4.04E-04	1.75E-02	caspase,CCND1,DCN,ESR1,ESR2,GATA1,GLI1,IL1B,IL6,Mek,NFkB (complex),NPAT,OTUB1,Pkc(s),RAF1,STAT5B,TGFB1,TP53,TRAF6	BCL11B,DDR2,DLX5,H1-5,HERPUD1,KCND3,LRP1B,NEAT1,NUPR1,PDZRN3,RBM5-AS1,TAC3,TIAM1,TMSB15A	14 (19)	16	 	 	 	 	caspase,NFkB (complex)	 	 	 	 	
RNF34	enzyme	 	3	 	 	-1.941	4.18E-04	1.87E-02	CASP3,CASP9,caspase,CCND1,GATA3,GLI1,IL1B,IL6,NFkB (complex),NFKB1,NPAT,RNF34,STAT4,TP53	BCL11B,DLX5,GAD2,H1-5,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,TIAM1,TMSB15A	13 (14)	10	 	 	 	NFkB (complex),RELA	 	 	 	 	 	
USP20	peptidase	 	3	Activated	 	2.309	4.39E-04	1.25E-02	AR,ARRB2,CCND1,CHEK1,CNR1,DIO2,E2F3,IL1B,IL6,levothyroxine,Mek,NFkB (complex),RAF1,SREBF2,STAT4,TRAF6,USP20	BCL11B,DDR2,DLX5,GAD2,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,SLC7A3,STMN2,TIAM1	12 (17)	12	 	 	 	 	NFkB (complex),RELA	 	 	 	 	
SMARCD1	transcription regulator	 	3	 	 	1.941	4.40E-04	2.44E-02	caspase,CCND1,GATA1,GATA3,GLI1,IL6,Mek,NFkB (complex),NPAT,NR3C1,PTGS2,SMARCD1,STMN1,TP53	BCL11B,DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,NUPR1,PDZRN3,STMN2,TAC3,TIAM1,TMSB15A	13 (14)	12	 	 	 	 	 	 	 	 	 	
IFNA8	cytokine	 	3	 	 	-1.155	4.42E-04	2.27E-02	caspase,CCND1,GATA3,IFNA8,IFNG,IL1B,IL6,NFkB (complex),STAT4,TP53	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (10)	9	 	 	 	STAT4	 	 	 	 	 	
diclofenac	chemical drug	 	2	 	 	1.890	4.50E-04	2.10E-03	caspase,CTNNB1,diclofenac,DPP4,NFkB (complex),PTGS2,testosterone	DLX5,GAD2,HERPUD1,KCND3,LRP1,TAC3,TMSB15A	7 (7)	6	CYP2C19	 	 	caspase	APP,DPP4,NFkB (complex)	 	 	 	 	
