HD20_vs_CTR,HD18_vs_CTR,HD17_vs_CTR,HD_vs_CTR,HD20_vs_HD19
CLIC2,APLNR,SUGP2,LOC105374128,TES
CYP2R1,ABCA1,ADGRG2,LOC105374181,PCDHB5
BTBD11,EGFR,ABI2,LOC105374216,GARS
C14orf28,EGR2,PLXNC1,LOC105374298,PHGDH
JDP2,EHHADH,AASS,LOC105374309,GATA2
CMKLR1,NLRC3,ATP6AP2,LOC105374421,GATA6
IQCK,ELAVL2,CDH18,LOC105374454,GBGT1
ZFP3,ELAVL4,FARP1,LOC105374538,GBP3
FAM69C,A2M,LPAR6,LOC105374594,NUPR1
CCDC159,PLD5,ZNF197,LOC105374639,NR6A1
CNGA3,ELK3,SERF2,LOC105374715,GCNT1
JOSD2,EML1,ZNF256,LOC105374845,CNNM1
RINL,SPNS3,SORBS3,LOC105374997,GDF10
FBXO27,SLC25A43,STAG3L5P-PVRIG2P-PILRB,LOC105375019,MAGEA2B
ANKLE1,RTL3,CAPN10-AS1,LOC105375106,AMH
SHE,HMGA1P1,RBM6,LOC105375124,GGT5
AXDND1,ZNF449,RBM5,LOC105375164,ZNF285
CNTFR,ANO5,GTF2IP12,LOC105375222,CYFIP2
MYOM3,DMTN,RDH10-AS1,LOC105375249,BEX3
PODN,EPHA3,LINC02104,LOC105375265,GJA5
COL1A1,DHRSX,LOC101926969,LOC105375382,MLH3
COL4A1,FABP5,RUNDC3A-AS1,LOC105375615,GJB2
COL4A2,SLC37A2,LOC101927012,SMILR,LAMP3
TSHZ2,RNF152,LOC101927018,LOC105375967,TSPAN13
COL4A4,RASGEF1A,LOC101927019,LOC105376050,HSPB7
COL4A6,JMJD1C,PLCG1-AS1,LOC105376095,CPNE7
COL5A1,RSPH9,LOC101927118,LOC105376196,PCDH17
COL5A2,ADCY10P1,LINC01470,LOC105376268,CNTN6
COL8A1,ITGA11,CHL1-AS1,LOC105376289,RPS6KA6
COL11A1,CNKSR2,LINC01473,LOC105376294,RRP7A
OSR1,MMRN1,SEMA6A-AS1,LOC105376322,KCNMB4
LYPD6,PLA2R1,LOC101927234,LOC105376486,GLI1
TMEM198,EFR3B,LOC101927248,LOC105376494,GLRB
CCDC148,MAST1,LOC101927267,LOC105376601,PCLO
TRIM71,MYH15,LOC101927278,LOC105376602,AMT
MESTP4,GOLGA8A,LOC101927300,LOC105376607,GNG3
FAM43A,MYT1L,LOC101927314,LOC105376620,GNG4
SPATA18,NMNAT2,CH17-125A10.2,LOC105376689,GNG11
EMB,FOXD2,LOC101927345,LOC105376872,GPD1
CAPSL,FOXS1,LOC101927354,LOC105376878,FUOM
COX7A2P2,FLG,LINC01103,LOC105376982,LOC283028
SDHAF4,RAD54L2,LINC01571,LOC105377003,SLC25A45
SRSF12,PRRC2C,LOC101927383,LOC105377021,PRTG
CLDN3,COBL,LOC101927391,LOC105377056,LINC00514
CPN2,ANKRD28,LOC101927400,LOC105377155,ZNF843
CLDN23,ATP11A,LOC101927402,LOC105377325,GPR18
ZNF572,OTUD3,LOC101927476,LOC105377335,ZSCAN1
DGKK,ANKRD12,LOC101927497,LOC105377347,EMC10
CRH,MTCL1,COL1A2-AS1,LOC105377378,GPR21
MUM1L1,DNMBP,LINC01204,LOC105377413,SLC25A41
PTCHD1,ADGRL3,LOC101927583,LINC02485,LINC00663
HAPLN1,SATB2,LOC101927603,LOC105377509,LOC284561
ZNF358,SYNM,LOC101927608,LOC105377555,LINC01686
TCEAL2,FNBP4,RNF139-AS1,LOC105377622,ANGPT2
NEK7,PSD3,LOC101927693,LOC105377806,GPR27
BRI3BP,DAPK2,LOC101927699,LOC105377887,ERICH2
MACROD2,PRND,MIR3663HG,LOC105377896,TRDC
ISM1,BRD7P3,ZNF793-AS1,LOC105377945,ZNF619
CRYBA4,RAB38,BEAN1-AS1,LOC105378047,LINC00698
CRYBB1,KCNE4,LOC101927746,LOC105378120,LOC285500
RAB40A,FJX1,ATP6V1B1-AS1,LOC105378138,ZNF454
MPP7,NR5A2,LOC101927751,LOC105378155,PPIL6
LDLRAD3,FUT4,LOC101927752,LOC105378526,HOXA-AS2
CSF1R,RICTOR,LOC101927755,LOC105378568,SNHG15
CSF2,ANKRD18A,LOC101927756,LOC105378605,C8orf31
PLEKHA7,SFTA3,LOC101927759,LOC105378678,ZFP41
PRICKLE1,GABBR1,LOC101927770,LOC105378745,C8orf34-AS1
SLC2A14,ZNF718,LOC101927780,LOC105378756,C9orf47
MIPOL1,GABRA3,LOC101927864,LOC105378862,GPR39
LRFN5,PCSK9,LOC101927897,LOC105378929,TUSC1
LOC145845,SDHAP1,LOC101927902,LOC105379117,ATP11C
C15orf32,GLIPR1L1,LOC101927943,SEMA6A-AS2,TMSB15B
FBXL16,GABRR2,LOC101927947,LOC105379133,GRB7
ZNF785,FRMD3,LINC01572,LOC105379194,GRIA3
CSRP2P1,GCSAM,LOC101927978,LOC105379252,GRID1
RTN4RL1,KIAA1549L,EDRF1-AS1,LOC105379263,SLC27A6
SLC47A2,QPCT,LOC101928020,LOC105379345,GRIK2
SLFN13,SULT4A1,LOC101928045,LOC105379377,ASTE1
ARHGAP27P1,PARM1,LOC101928055,LOC105379392,LINC00339
ANKRD29,MXRA5,LOC101928068,LOC105379477,DNAJC15
ZNF578,CHRDL2,LOC101928076,LOC105379490,DDX25
KLC3,HSPA12A,PCAT7,CH507-145C22.1,GRM7
ZNF560,BOD1L1,LOC101928103,PRDX4,GSN
TMC4,SEC31B,LINC01811,ARFGEF1,GSTM1
IGFL2,DNAH1,LOC101928120,SLC34A2,GSTZ1
ZNF558,RAI14,LOC101928135,NPC2,GUCA1A
ZNF714,CFAP61,LOC101928161,TXNRD2,PARVB
SAMD11,WSB1,LINC01943,P3H4,SNX10
ANKRD35,TTLL3,LOC101928216,MYL12A,DMGDH
RC3H1,ZNF337,LOC101928228,TXNIP,PSAT1
CTH,PCDHB5,LOC101928230,RN7SKP71,UBQLN2
CLDN19,FBXL21,DARS-AS1,RN7SL585P,LMCD1
BTBD19,SACS,LOC101928255,RN7SL481P,EFEMP2
GNAS-AS1,GBP3,LOC101928266,MTX2,SH3KBP1
ADRA2A,CNNM1,LOC101928295,SPINT2,HIST1H2BD
SIK1,TIMM10,LOC101928307,CELF2,HCCS
TTL,RGS17,LOC101928323,MIR34AHG,ZNF354C
LINC01102,GREM1,LOC101928338,SNORA92,CDR2L
LINC01105,MDGA1,LOC101928344,LINC00680,HLA-A
ITPRIPL1,RGL4,LOC101928352,CLDN16,HLA-B
GAREM2,GDNF,PTOV1-AS2,FUT9,HLA-C
LINC01963,GEM,LOC101928386,RRH,HLA-J
CTSK,SNORA70,LOC101928397,CORIN,HLA-L
FAHD2B,AMH,LOC101928414,ADCY1,HMGB3
SLC16A14,SNORD45B,LOC101928422,CERS1,HNMT
MSL3P1,GJA5,LOC101928433,POLQ,NOP14-AS1
CMC1,GJB2,LOC101928451,SLC12A7,TLX2
LINC02085,LAMP3,NALT1,SIX2,HOXA2
CNTN4,HSPB7,LOC101928521,GRAP,APBA1
NIPAL1,CIDEB,LOC101928524,CHL1,HOXA3
PPM1K,FAM184B,LOC101928529,NES,HOXA4
SLC25A48,CNTN6,LOC101928530,ZNF274,HOXB9
CNKSR3,GLDC,RAP2C-AS1,NEK6,HOXC4
MBOAT1,TNRC6A,LOC101928592,IQGAP2,HOXC5
NKAIN2,GNAL,MEI4,ZNF273,HPCAL1
LOC154761,GNB3,LOC101928650,MTHFD2,HSPA2
METTL27,GNG3,LOC101928674,LOC107983950,PPM1J
LINGO2,GNG11,LOC101928707,LOC107983995,MESTP1
LDHAP4,GOLGA4,LOC101928755,LOC107984079,C1QL4
KIAA1958,RBM20,LOC101928762,LOC107984110,C17orf51
ASS1P3,H19,LOC101928764,MIR583HG,LOC339803
ZDHHC15,RCOR2,LINC02328,LOC107984128,C2orf74
CXorf38,TRHDE-AS1,LOC101928768,LOC107984214,LOC340268
FAM122B,LINC00346,LOC101928812,LOC107984244,ASS1P11
DACH1,TSSK4,LOC101928815,LOC107984269,FAM221A
DENND5B,HERC2P3,LINC01786,LOC107984334,CA5BP1
DGKB,FBXL22,LOC101928953,LOC107984339,ASS1P13
CCDC122,BRICD5,LINC01719,LOC107984413,SYT10
TMEM229B,LOC283922,LOC101929004,LOC107984459,NCKAP5
DAPK1,PKD1P2,LOC101929028,LOC107984551,CDKL4
MDGA2,HID1,LOC101929057,LOC107984583,ZNF879
ANKFN1,GPR18,PIK3CD-AS2,LOC107984648,CAVIN4
TMEM92,SLC13A5,LINC02334,LOC107984754,SOX2-OT
RHBDL3,TMEM102,LINC01333,LOC107984777,GATD1
ZNF114,SSC5D,CASC18,LOC107984834,IGF1
ZNF100,ZSCAN1,LOC101929185,LOC107984837,AMIGO2
ZNF540,ZNF283,LOC101929188,LOC107984858,HCN1
KANK4,SMIM24,LINCR-0001,LOC107984938,WDR86
CABP7,ZNF493,LOC101929200,LOC107984948,IGSF1
LONRF2,LOC284561,LOC101929204,LOC107985017,IL7R
DDIT3,LOC284581,LOC101929224,LOC107985031,IL13RA1
SPTSSB,C20orf204,LOC101929231,LOC107985120,EIF3EP1
RNF168,ANGPT2,LOC101929285,LOC107985188,IRAK2
DACT2,IAH1,LOC101929356,LOC107985230,IRF7
COL22A1,RGPD4,LOC101929372,LOC107985276,ITGA2
GLIS3,LOC285500,EXTL3-AS1,LOC107985305,ITGA4
ARX,GPRIN3,MEF2C-AS1,LOC107985320,ITGA9
GSX2,ZNF454,LOC101929426,LOC107985338,ITK
ADAMTS19,GPR35,LOC101929427,LOC107985395,STK19B
ABHD11-AS1,HOXA-AS2,LOC101929432,LOC107985474,ANOS2P
SYNPO2,ANK1,LURAP1L-AS1,LOC107985487,KCNA2
ABHD3,LSMEM1,LINC01615,LOC107985495,KCNA3
DHFR,C9orf47,LOC101929485,LOC107985497,KCNA6
DLX5,FAM133A,LOC101929494,LOC107985502,GALNT18
DLX6,TRAC,LOC101929534,LOC107985513,WASH4P
DNAH9,GRB14,LOC101929583,LOC107985534,KCNC3
DYNC1I1,GRIA4,LOC101929638,LOC107985664,KCND1
DRD4,GRIN2B,TMC3-AS1,LOC107985675,PEAR1
ARID3A,DNAJC15,LOC101929670,LOC107985716,RBM43
DSC1,C6orf15,LOC101929679,LOC107985731,KCNH1
DSC2,MYLIP,LINC01583,LOC107985736,KCNJ11
DSCAM,CTNNA3,LOC101929705,LOC107985742,KCNMB1
DSG2,GRM7,LOC101929718,LOC107985860,NHLRC1
EPYC,GRPR,LOC101929759,LOC107985911,KIFC3
DTX1,GSTM3,LOC101929823,LOC107985921,KRT8
ABCA1,GSTT2,LOC101929898,LOC107985927,KRT16
S1PR3,PARVB,LOC101929947,LINC01965,SNHG5
SCAMP5,CYP2S1,LOC101930085,LOC107985946,KRT17
EGFR,PDZRN4,LOC101930090,LOC107985969,RTL1
EGR2,DMGDH,LOC101930100,LOC107986058,TNFAIP8L3
EIF1AX,PILRA,LOC101930307,LOC107986063,ZNF728
DNM1P46,BAZ2B,TSHZ1,LOC107986078,IGFL3
GRAMD2A,HSD17B10,ALG3,LOC107986121,C2orf80
NSMCE1,HFE,PCAT14,LOC107986126,KRT86
EIF4EBP1,HUNK,MPHOSPH9,LOC107986160,PROB1
ELAVL3,SOX8,DHRS2,LOC107986175,C5orf46
CADM4,ZNF354C,CALCRL,LOC107986207,ARHGEF37
VWA3B,HLA-A,PATJ,LOC107986267,GAPDHP65
EML1,HLA-DMA,EIF1,LOC107986268,LOC389906
RPL22L1,HLA-DMB,CDK6,LOC107986304,RPS4XP13
FBXO15,HLA-DOA,PSMD14,LOC107986321,ADAMTS7P1
SLC10A4,HLA-DQB2,OLIG2,LOC107986363,LAMA3
TMEM154,HLA-DRA,PCBP2-OT1,LOC107986419,PGAM1P4
CRYBG1,HLA-DRB1,CTDSPL,LOC107986432,RPS4XP6
RTL3,HLA-H,ANGPTL7,LOC107986566,LAMC2
ANO5,AOX1,CDK7,LOC107986569,LCP1
EPHA3,C14orf39,ZNF443,LOC107986676,LDHA
SLC44A5,HOXA2,NBR2,LOC107986712,LHX1
LINC00116,APBA1,RASGRP2,LOC107986749,ARHGDIG
EPS8,HOXB9,TIMM17B,LOC107986752,TMEM200B
ESD,HOXD8,MIR6758,LOC107986798,SMIM10L2A
ETS2,HSF4,MIR6843,LOC107986820,LINC00999
ALCAM,HSPA1A,MIR6739,LOC107986849,LINC01002
F13A1,HSPA1B,MIR6845,LOC107986927,LINC02381
FABP6,HSPA1L,HRAT5,LOC107986946,SERTM1
ALDH1B1,HSPA2,LINC02200,LOC107986984,FLJ22447
AMER2,HSP90AA3P,SPRY2,LOC107986985,ST20
STOX1,MESTP1,THRIL,LOC107986986,PRICKLE3
HYLS1,LINC01252,RAMP2,LOC107986994,LMO7
PPP1R32,C17orf51,RAMP1,LOC107987003,PAIP2B
FAM124A,FLG-AS1,RAMP3,LOC107987009,LINC00960
RPS4XP16,BRINP3,LINC01159,LOC107987062,HTATSF1P2
RNF152,CYP27C1,CDKN1B,LOC107987098,HACD4
ALDH3B1,WDR97,FSTL3,LOC107987144,GOLGA7B
LRRN4CL,ZC3H12B,STAM-AS1,LOC107987169,IFITM10
SPATA13,DCAF12L2,LOC102723323,LOC107987172,HAPLN4
LRRC73,ASS1P13,LOC102723335,LOC107987250,LYN
SYCP2L,C19orf81,LOC102723345,LOC107987280,SMAD3
THSD7A,CDKL4,LINC02298,LOC107987297,SMAD9
MTURN,KRT18P17,LOC102723360,LOC107987300,MAGEA2
CDHR3,ZNF391,LOC102723430,LOC107987306,STS
LNX2,IGFBPL1,LOC102723438,LOC107987307,MARS
SLC35F1,LANCL3,LOC102723471,LOC107987308,MATN3
ADGRF2,USP32P3,KCNE1B,LOC107987309,ME1
SEMA3D,PKD1P5,LOC102723534,LOC107987323,MECP2
FGF1,CCDC144CP,LOC102723539,FAM239C,MEIS1
FGFR3,NIPAL4,LOC102723543,GJB6,MEST
GPC5,HCN1,CSAG2,CPLX1,MGST2
ITGA11,WDR86,LOC102723564,CGB3,ASCL1
RHOBTB3,PKD1P4,CDC27P9,OR7E12P,NR3C2
ADNP2,IL1B,HAUS6P3,PPP1R17,MMP10
NLRP1,IL6,LOC102723636,PDE10A,MMP11
R3HDM2,IL6R,102723643,PPP1R13L,CD200
NLGN1,IL7R,LOC102723670,SLC26A1,THAP7-AS1
POMZP3,AQP1,LOC102723694,ADAM28,C5orf17
SHANK2,KRT18P10,LOC102723703,C1QL1,LINC00863
EFR3B,AQP4,LOC102723716,MALT1,ASNS
PDZRN3,IDO1,LOC102723728,SMPDL3A,FAM66C
MYO16,IRAK2,LOC102723761,CCNI,LOC440173
FOXM1,ISG20,LINC01315,HSF2BP,GOLGA6L9
FOXS1,ISL1,LINC02506,ADAMTS8,PLEKHM1P1
HECW1,ISLR,LOC102723846,FGFR1OP,HIST2H2BF
EXPH5,ITGA4,LOC102723885,CHGB,MIAT
ZNF423,ITGB4,LINC01238,PLA2G16,FLJ46906
KIF1B,ITIH3,LOC102723961,LDB3,ANKRD20A3
MCF2L2,ITPR3,LOC102723989,CHI3L1,ANKRD20A2
ATP10B,JAK2,LOC102723996,SOX21,NRARP
COLGALT2,TEPP,LOC102724055,FAM107A,RPS4XP11
KDM6B,SBSN,LOC102724064,INMT,PRKXP1
ACSBG1,PEAR1,LOC102724078,CHKA,RPS4XP7
MLC1,KCND2,LOC102724093,CHM,GAPDHP63
COBL,PI4KAP2,LOC102724117,CHML,RPS12P11
ATP11A,LINC01116,LOC102724165,MST1L,ASS1
KAZN,RBM44,LINC02542,CHN2,MUT
MCF2L,KCNF1,LOC102724219,PRRT2,ATF4
WSCD1,KCNH1,SVIL-AS1,NXPH3,NCAM2
AFF2,NAT16,SPINT1-AS1,PHF21B,SPIN2B
DOCK9,LHFPL3,LOC102724363,LYST,NEK3
PSD3,WASH5P,LOC102724364,GLCCI1,NELL2
PPP1R13B,KCNJ2,LOC102724378,TMEM106A,NFATC1
AHCYL2,KCNJ5,CH507-42P11.6,SYNPO,NGFR
ATP13A2,KCNJ12,LOC102724428,CHRNA5,NHS
DAAM2,KCNMB1,LOC102724438,DTX2,NKX2-2
TTC9,KIF5C,LOC102724467,ADCY8,NKX6-1
ZNF281,KRT8,LOC102724479,TSPEAR-AS2,NNMT
NNT,RNF144A-AS1,LOC102724488,MCM3AP-AS1,ATP2B2
TSPAN12,SNHG5,LOC102724525,CHRNB2,NTRK3
CDC42EP4,CEP85L,LOC102724528,CGB2,OAS3
ACOT9,KRT18,LOC102724548,ERMAP,SIX6
DAPK2,GPR153,LOC102724580,LRRC37B,SLC22A18
CA14,KRT18P11,LOC102724584,CARD16,PAPPA
UBBP4,LIPT2,LOC102724593,LMTK3,AK3
TMEFF2,FABP5P1,LOC102724604,FMNL2,STMN3
FLRT2,TNFAIP8L3,PPFIA2-AS1,ELFN2,SHANK1
ALOX5,UBE2Q2P1,DPY19L1P2,SLITRK1,PCK2
ALOX5AP,IGFL3,LOC102724677,RNF157,TCEAL9
FJX1,KRT81,LOC102724682,GALNT13,RAB9B
FRK,KRT83,LOC102724701,C1QTNF3,PCSK1
NR5A2,KRT84,LOC102724805,SLC26A7,CRIM1
CADM2,KRT85,LOC102724814,ZNF501,PCSK5
CNIH2,KRT86,LOC102724822,ARHGAP33,PBDC1
MEIOB,BEND4,LOC102724843,WDFY2,NRN1
MIR9-3HG,SAMD5,TBC1D3I,LRRC3B,CYP39A1
ZNF718,STRADBP1,LOC102724908,CYYR1,KCNK9
GABRA2,XKR9,LOC102724943,LYPD1,PRR16
GABRA5,MAFA,LOC102724951,GRIN3B,THEM6
SYT14,C1QL3,LOC102725121,TSEN15,TRAPPC4
GABRB1,GOT2P2,NET1,WDR17,PDE4D
GABRB2,KRT18P4,EFS,ACAP3,GULP1
GABRR2,PTRHD1,PRSS16,AGAP2,PDGFA
FRMD3,LAMC2,CDKN1C,ADCYAP1R1,ACKR4
LMOD1,GDF6,SIGMAR1,SCGB3A2,LSR
BACE2,ELFN1,BET1,RFFL,TUBA8
POU2F3,AGMO,TRAIP,ZNF354B,PGF
MGAT4C,LCP1,APC2,TRIM6,ABCB1
PARM1,LGALS8,CDKN2B,CLCN2,PHKA2
GALNT3,C11orf87,APBB3,OLFM3,SERPINA1
ALS2CL,HERC2P2,ZNF267,PIK3AP1,PITX3
HSPA12A,ADAMTS7P3,TCIRG1,CLU,PKP1
TENM4,LOC400464,PAUPAR,CPXM2,PLCB2
IPCEF1,KCNJ2-AS1,B3GALT5,ERP27,ATP6V1G2
CHD5,PRICKLE3,AKR1A1,FGD4,PLP1
SETBP1,LOC400750,MRVI1,TEX26,PLSCR1
PRSS33,RGPD1,LINC01410,JDP2,PMAIP1
LRRTM2,FSIP2,PKDREJ,SLC25A29,PNOC
FAM169A,FOXL2NB,CCL26,WHAMM,PMS2P4
SLITRK5,OR2A20P,TRDN,LTB4R,MYO3A
ARHGEF26,HACD4,CDO1,IQCK,RIMKLBP1
GPSM1,CD99P1,NPM3,SGK494,RIPK4
ABHD12,LPL,KLF2,FAM69C,CLIC6
PYGO1,IGLON5,TBX2-AS1,C19orf70,GPR85
TES,IFITM10,CITED2,OSCAR,SSH1
KIF26A,LRP2,SEMA3A,ZNF813,MOV10L1
PCDHB5,C6orf201,FOXC2-AS1,ZNF441,SPIN2A
GARS,LUM,TUBB4A,CNGA3,ADAMTSL4
PITPNC1,TACSTD2,CDR2,AKR1B1P7,EPB41L4A-AS2
PHGDH,MIR221,CORO2B,ANKLE1,WDR44
GATA2,MIR222,MYL12B,CNR1,CCHCR1
SACS,MAB21L1,DLC1,ADH4,NDUFB11
GATM,SMAD3,ATP8A1,MYOM3,MXRA8
HSPB8,STS,NDRG1,COL4A1,PCDHB18P
NUPR1,MAP1B,MYL9,COL4A2,PCDHB17P
GCNT2,TBC1D3B,RACK1,VSTM2L,MANSC1
MDGA1,TBC1D3C,CDS1,TSHZ2,RAB39A
GFAP,AGAP6,PEMT,COL4A4,NUP62CL
AMH,ME1,CPQ,COL4A6,TOR4A
OPLAH,MEOX1,MYCNOS,COL5A1,RPP25
ZNF285,MEST,RAPGEF3,COL5A2,NMRK1
CYFIP2,MFAP2,SPON1,COL8A1,TMEM255A
TPK1,MFAP4,PGRMC2,CMPK2,SUSD4
MLH3,KITLG,TMEM147,FBLN7,NBDY
GJB2,MGST2,LINC01331,COL9A3,PPP1R3C
LAMP3,CIITA,DLX2-AS1,COL10A1,KIF26B
B3GAT1,CD99,LINC00431,COL11A1,CRTAC1
ARRDC2,MITF,LENG8-AS1,ACVR1C,ARMC4
HSPB7,ACHE,EMG1,LYPD6,FAM90A1
FAM184B,NR3C2,CDX1,COMT,PNPO
CPAMD8,ASLP1,WARS2-IT1,ZPLD1,P3H2
GPR162,C5orf17,LINC01224,TRIM71,KLHDC8A
PCDH17,HERC2P9,HAX1,MESTP4,RFK
CNTN6,WHAMMP2,FST,FAM43A,CPPED1
RND1,GOLGA6L9,CLGN,H1FOO,LAPTM4B
SMPDL3B,NPIPB15,TRIM38,OCIAD2,SLC22A15
RBMS3,HIST2H2BF,EIF3M,MAP3K8,LINC00862
TOX3,SPDYE2,SEC23A,CPEB2,HIST2H4B
RPS6KA6,OR2A9P,C1orf61,EMB,ELMOD1
RRP7A,ANKRD18B,LRRC41,CAPSL,CHRNA9
GLI1,PRKXP1,ENOX2,ZNF474,NLRP2
GLRA2,SPDYE5,UNC13B,CLVS2,LIMS2
GLRB,ASS1,NCOA2,B3GAT2,PKIB
PCLO,MT1E,ADARB2,C6orf141,HHAT
GNAZ,MT1F,SEMA6C,KLF14,H2AFJ
GNG3,MT1X,SEMA6B,CPN2,PRKCE
GNG4,MT2A,SEMA4F,ZNF572,LMO3
GPM6A,MT2P1,SEMA4D,FAM92A,MAPK11
GPM6B,TRNC,CEBPB,CPT1A,PDGFC
GPR1,ASS1P9,FBLN5,LETM2,MAP2K6
LOC283028,TRNE,CIB1,DGKK,PCDHGB6
CRACR2B,TRNN,ZNF211,CRH,PCDHGA11
MYO1H,TRNR,NEBL,MUM1L1,PCDHGA9
GPR137C,NEFM,PITRM1,FUNDC1,PCDHGA6
FAM181A-AS1,HDGFP1,SSSCA1,PTCHD1,PCDHGA3
FBXL22,NEFL,LOC105369147,HAPLN1,PCDHGA2
ZNF843,NFATC2,LOC105369151,ASB9,PCDHB13
CLEC18C,NHS,PKD1P6-NPIPP1,TCEAL2,PCDHB12
HID1,NKTR,LOC105369163,NEK7,PCDHB11
GPR18,NKX2-2,LOC105369197,SLC32A1,PCDHB8
ZIK1,NKX6-1,LOC105369228,CRYBB1,PCDHB7
ZSCAN1,NOV,LOC105369250,CRYM,PCDHB6
EMC10,NTRK2,LOC105369301,SAMD8,PCDHAC2
GPR21,NTN3,LOC105369315,MPP7,PCDHA7
SLC25A41,TMEM9B-AS1,LOC105369352,LDLRAD3,PROC
LINC00663,OAS3,LOC105369363,CSF1R,SUSD2
THEM5,RNF165,LOC105369463,CSF2,KYAT3
LOC284561,OPRM1,LOC105369512,PLEKHA7,BEX4
LINC01686,P2RX5,LOC105369547,PRICKLE1,PROX1
SPATA46,G0S2,LOC105369563,WDR66,PRRG1
LINC00319,PAPPA,LOC105369568,A2M-AS1,DNAJC12
LOC284950,PAX3,LOC105369574,PRIMA1,PSD
LINC01114,NDUFAF1,LOC105369575,ISM2,ASAH2
ANGPT2,FKBP11,LOC105369576,DRAIC,TCIM
GPR27,FAM198B,LOC105369592,C15orf32,PMEPA1
LOC285043,THEM6,LOC105369609,BEAN1,SHD
ERICH2,PDE2A,LOC105369617,FBXL16,CHPT1
IGSF10,PDE3A,LOC105369618,CSRP1,TMEM159
LOC285500,ACKR4,LOC105369746,SLC47A2,JPH2
GPRIN3,RASD1,LOC105369747,SLFN13,GJC2
FAM200B,FKBP7,LINC02454,PROCA1,ADGRG6
ZNF454,ERAP1,LOC105369819,CST3,CEMIP
PPIL6,PEG3,LINC02407,ANKRD29,NHSL1
DCBLD1,ABCB4,LOC105369876,ZNF578,SLC4A10
HCG22,SERPINA1,LOC105369928,C19orf18,TTYH1
HOXA-AS2,SERPINB9,LINC02409,KLC3,TMEM27
INHBA-AS1,SERPINI1,LOC105369957,TMC4,PTGIS
SNHG15,PKP1,LOC105369985,TPM3P9,DUSP5P1
TCAF2,PLAG1,UBD,IGFL2,SLC24A3
ANK1,PLCB4,LOC105370067,ZNF542P,PPM1H
C8orf31,PLCG2,LOC105370109,ZNF738,SHROOM4
ZFP41,CLIC5,LOC105370114,ZNF714,AHRR
NKAIN3,PLGLB2,LINC02340,ATP8B3,NCEH1
C9orf47,PLGLB1,LOC105370165,SYT6,PCDH10
FAM78A,COPG2IT1,LOC105370168,SAMD11,PDZD4
TRBC2,MYO3A,LOC105370214,LOC148709,ZNF492
ATP11C,DUOX1,LOC105370297,ANKRD35,DPP10
LINC00632,CYP4F29P,LOC105370346,MFSD4A,LRRN1
GRB14,TSPEAR-AS1,LOC105370384,RC3H1,ADGRB3
RAPGEF1,GPR85,105370402,CTH,SLC7A14
GRIA4,DPM3,LOC105370406,FAM78B,PPP4R4
SLC27A6,SSH1,LINC02282,LRRC71,TRIB3
FLVCR1,POU2F2,LOC105370447,KRT8P45,ZP4
GRIK3,NDUFB11,LOC105370463,ADRA2A,SLC4A5
GRIN2A,SLC6A20,LOC105370569,IGSF5,PTPRB
GRIN2B,XAF1,LOC105370573,SIK1,PTPRM
GRIN2D,TRPM4,LINC01629,LINC01102,ACTA1
LINC00339,NUP62CL,LOC105370579,LINC01105,PTPRR
DDX25,LIME1,LOC105370614,FAM117B,PCYT2
GRM7,PRPF39,LOC105370668,GAREM2,PLEKHB1
GSN,SUSD4,LOC105370670,LINC01963,ZNF77
GSTM1,NBDY,LOC105370672,PLB1,MYL7
GSTM3,PPP1R3C,LOC105370687,LOC151174,ARHGAP22
GSTZ1,UACA,LOC105370708,FAHD2B,MID1IP1
USP25,FEZF2,LOC105370767,EFHB,RAC2
PACSIN3,EBLN2,LOC105370777,LRRC34,ACTA2
GUCA1A,CRTAC1,LOC105370809,CCDC80,BCHE
CYP2S1,TRIM68,LOC105370858,PQLC2L,RASGRF2
SNX10,ARMC4,LOC105370924,CTSW,TLNRD1
LINC00312,FAIM,LOC105370941,NEK10,RXFP1
PURG,LGI2,LOC105370964,CMTM8,LGR6
PADI1,KLHDC8A,LOC105370978,LINC02085,RBP1
DMGDH,STEAP3,LOC105370982,CNTN4,SMG1P5
PSAT1,ADI1,LOC105371031,IGSF11,PRPH2
SCHIP1,THNSL2,LOC105371032,ZNF827,RGS16
LMCD1,TMEM100,LOC105371049,NIPAL1,RMRP
HIST1H2BD,RBM41,LOC105371074,PPM1K,RN7SL4P
ANXA2P1,SPTLC3,LOC105371114,SLC25A48,ALX4
HAS3,TBC1D2,LOC105371115,LOC153684,PAPPA2
ANXA2P3,NPY4R,LOC105371206,CCDC112,ROS1
HFE,LINC00862,LOC105371216,CNKSR3,RPGR
HUNK,HIST2H4B,LINC02134,MBOAT1,RPA2
SOX8,SMPD3,LOC105371275,NKAIN2,RPE65
ZNF354C,KDM4D,LOC105371289,RUNDC3B,RPS4X
HLA-A,H2AFJ,LOC105371314,LOC154761,FAM85A
HLA-B,MCTP2,LOC105371344,FEZF1-AS1,RPS6KA3
HLA-F,PRKCE,LOC105371348,FAM84B,RPS28
HLA-J,PRKCH,LOC105371376,SBSPON,RRAD
HLA-K,CBWD1,LOC105371401,LINGO2,SAT1
NOP14-AS1,PRKCQ,LOC105371414,KIAA1958,SATB1
C14orf39,LMO3,LOC105371441,ASS1P3,CLEC11A
TLX2,PRKG2,LOC105371450,ZDHHC15,SCN1A
HOXA1,APOM,LOC105371466,CXorf38,SCN7A
