Pathway	pVal	zScore	Genes	type	comparison
ursolic acid Signaling	8.05601112492623	-1.463	ATF3,EIF4EBP1,FASN,FGF2,GDF15,MARS1,MKI67,MMP2,NARS1,SARS1,SLC6A9,TNFRSF10B	Upstream	Q73_Vs_pTANK_Glia
ITGB1 Signaling	8.03479829897409	0.446	ADAM19,BCAN,CCL2,EIF4EBP1,FN1,GAS1,GFAP,HSPG2,ICAM1,ITGA5,LAMB1,MMP2,PAPPA,PLAU,SERPINE1,SPON1,TNFAIP3,VEGFA	Upstream	Q73_Vs_pTANK_Glia
2-(4-amino-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidin-3-yl)-1H-indol-5-ol Signaling	8.01367622294923	2.137	ATF3,AURKB,BCL6,CCNB1IP1,CD44,DDIT4,DHCR24,EGR1,H2BC10,HAS2,HMGCR,KIF18B,KPNA2,MTHFD2,PMEPA1,PPP1R15A,RFC4,RGCC,TCP11L2,TOP2A,TXNIP	Upstream	Q73_Vs_pTANK_Glia
FOXO3 Signaling	8	-0.416	BCL6,COL4A1,COL4A2,CTSV,DDIT4,EGR1,EIF4EBP1,FASN,FBXO5,FN1,GRB14,HMGCR,ICAM1,MKI67,MTHFD2,NCAPD2,NRP2,NUPR1,PLAU,PMAIP1,PPP1R15A,SERPINE1,SH2B3,SIX4,SLC1A4,SLC7A1,TNFRSF1A,TXNIP,VEGFA	Upstream	Q73_Vs_pTANK_Glia
AHR Signaling	7.93930215964639	0.003	A2M,ADAM19,ADM,ALDH2,CDKN2C,COL14A1,COL4A1,COL4A2,EFEMP1,FN1,GAS1,GOT1,HMGCR,ITGA5,ITGA6,LDHA,MMP2,NFE2L2,NQO1,PJA1,PLXNA2,POLA1,PPP1R15A,RBP1,SCD,SERPINE1,SLC1A4,SOCS3,VEGFA	Upstream	Q73_Vs_pTANK_Glia
hydrogen peroxide Signaling	7.89962945488244	1.739	ACAT2,ANKRA2,ATF3,CCL2,CD55,CDH13,CDKN2C,CEBPG,DDIT4,DHCR7,EGR1,FASN,FDFT1,FGF2,FN1,GDF15,HMGCR,ICAM1,INSIG1,ITGA6,KDR,LDLR,MDK,MMP2,MSMO1,NFE2L2,NQO1,RUNX2,SC5D,SERPINE1,SLC7A11,SQLE,TNFAIP3,TNFRSF10B,TXNIP,VEGFA	Upstream	Q73_Vs_pTANK_Glia
bexarotene Signaling	7.83564714421556	-0.908	BCL11B,CCDC107,CCL2,CEBPG,CLIC6,CTH,DDIT4,DLK1,GARS1,GFAP,HERPUD1,ICAM1,IER2,MAF,MTHFD2,NRP2,PLOD2,RTN4R,SCD,SLC7A1,SLC7A5	Upstream	Q73_Vs_pTANK_Glia
SP600125 Signaling	7.67366413907125	-2.247	ACAT2,ADM,ATF3,CCL2,CD44,CEBPB,CHAC1,COL4A1,COL4A2,DDIT4,EGR1,FASN,FN1,H2BC10,ICAM1,ITGA6,LDLR,MTHFD2,NUPR1,P4HA2,SCD,SERPINE1,SGPL1,SOCS3,TNFRSF10B,VEGFA	Upstream	Q73_Vs_pTANK_Glia
cyclosporin A Signaling	7.63827216398241	-0.744	A2M,ATF3,BCAT1,BGN,CCL2,CD44,CD55,COL4A2,CXCL9,DDIT4,EDIL3,EGR1,EIF4A3,FASN,FDFT1,FN1,GFAP,HERPUD1,HMGCR,ICAM1,KDR,LDLR,MAF,MMP2,NRCAM,PASK,RFTN1,RUNX2,SCD,SERPINE1,SRSF1,TMSB10/TMSB4X,VEGFA	Upstream	Q73_Vs_pTANK_Glia
THBS1 Signaling	7.63638802010786	2.158	ADCYAP1R1,COL4A1,EGR1,FN1,LRP1,MMP2,PLAU,TNFRSF10B,VEGFA	Upstream	Q73_Vs_pTANK_Glia
U0126 Signaling	7.62160209905186	-1.325	ARC,ATF3,CCL2,CD44,CEBPB,CIITA,COL4A1,CXCL9,EGR1,EIF4EBP1,FGF2,FN1,GDF15,GFAP,HERPUD1,HMGCR,ICAM1,IDI1,IER2,ITGA5,ITGA6,KDR,LAMB1,LDLR,ME1,MMP2,NFE2L2,NNAT,OSMR,PLAU,RFTN1,RUNX2,SERPINE1,SH2B3,SOCS3,STC2,VEGFA	Upstream	Q73_Vs_pTANK_Glia
VCAN Signaling	7.57024771999759	0.722	ADM,ASS1,CCL2,CD34,CDH13,CEBPB,FN1,HAS2,ICAM1,IFIT1,IFITM1,INHBB,ITGA5,LAMB1,PLAU,RBP1,SERPING1,TRIM22,VEGFA	Upstream	Q73_Vs_pTANK_Glia
ezetimibe Signaling	7.57024771999759	-2.812	DHCR7,FDFT1,HMGCR,HMGCS1,IDI1,LDLR,MVD,MVK	Upstream	Q73_Vs_pTANK_Glia
ZBTB17 Signaling	7.52578373592374	0	ASPM,AURKB,EGR1,KIF18B,KIF20A,LDLR,MKI67,NCAPH,NUSAP1,OSMR,PIMREG,PMAIP1,SGO1,TOP2A	Upstream	Q73_Vs_pTANK_Glia
Vegf Signaling	7.33254704711005	-0.005	A2M,ATF3,AURKB,CD44,CDKN2C,CNTFR,EGR1,FGF2,FN1,GPSM2,GRB14,HERPUD1,ICAM1,INHBB,INSIG1,ITGA6,KDR,LDLR,MAZ,MKI67,MMP2,NRCAM,NRP1,OSMR,PCDH10,PDE7B,PLAU,PLK4,PLOD2,PLXNA2,PMAIP1,RGCC,SLC7A1,SOCS3,TNFRSF10B,VEGFA	Upstream	Q73_Vs_pTANK_Glia
PD98059 Signaling	7.3269790928711	-2.241	ACAT2,ATF3,BCL6,BGN,CCL2,CD44,CD55,CD74,CEBPB,COL4A1,CRH,EGR1,FASN,FGF2,FN1,HAS2,HGF,ICAM1,INSIG1,LDHA,LDLR,MKI67,MMP2,MT3,NFE2L2,NQO1,OSMR,PLAU,PPP1R15A,RUNX2,SERPINE1,SLC3A2,SOCS3,SQLE,TNFRSF10B,TOP2A,TXNIP,VEGFA	Upstream	Q73_Vs_pTANK_Glia
RPTOR Signaling	7.31336373073771	-2.956	DHCR24,DHCR7,FDFT1,FGF2,HMGCR,HMGCS1,IDI1,LDHA,MSMO1,MVD,MVK,NSDHL,SC5D,SQLE	Upstream	Q73_Vs_pTANK_Glia
25-hydroxycholesterol Signaling	7.29328221766324	3.219	ACAT2,ATF3,CHAC1,FASN,FDFT1,HMGCR,HMGCS1,INSIG1,LDLR,SCD,STARD4,VLDLR	Upstream	Q73_Vs_pTANK_Glia
APP Signaling	7.27901425584626	0.908	ADAM19,APC,ARC,ATP1A3,CALR,CCL2,CD44,CD74,CKB,CTSV,EGR1,FBXL20,FGF2,FN1,GDF15,GFAP,HERPUD1,HGF,HMGCR,HSPG2,ICAM1,IGF2R,ITGA6,LDHA,LDLR,LRP1,LRP1B,MAF,MDK,MMP2,NNAT,NRP1,NRP2,PJA1,PLAU,PLCG1,PMAIP1,RFC4,S1PR1,SAP30,SERPINE1,SERPINF1,SLC13A3,SLC7A11,SLFN5,SOCS3,STMN2,THSD4,TNFRSF10B,TOP2A,VEGFA	Upstream	Q73_Vs_pTANK_Glia
CG Signaling	7.20690839982342	1.193	ADCYAP1R1,ADM,BCAT1,CCL2,CEBPB,CTSV,DHCR7,EFEMP1,EGR1,FJX1,GAS1,HAS2,HLA-A,HMGCR,ICAM1,INHBB,KCNT2,LDLR,LRP1B,MAF,MMP2,MVK,NRP1,PAPPA,PLAU,PMAIP1,PODXL,RUNX2,VEGFA	Upstream	Q73_Vs_pTANK_Glia
NOX4 Signaling	7.18243463044022	2.902	CCL2,CD44,CTH,FN1,HAS2,ICAM1,MMP2,SERPINE1,VEGFA	Upstream	Q73_Vs_pTANK_Glia
TP73 Signaling	7.16941133131486	-0.535	ADAM19,ATF3,CCL2,CD55,CKS2,CNTFR,CTH,DDIT4,EGR1,FASN,FGF2,FN1,GTSE1,ITGA5,LDHA,LZTS1,MDK,MMP2,NRP1,NUPR1,PLAU,PLCD3,PMAIP1,SERPINB6,SERPINE1,SERPINF1,SERPING1,TNFRSF10B,TNFRSF1A,TRIM22,VEGFA	Upstream	Q73_Vs_pTANK_Glia
YY1 Signaling	7.16241156176449	-0.174	AURKB,CALR,CDKN2C,CEBPB,CIITA,EGR1,HAS2,HMGCR,KDR,KIF20A,LDLR,LMNB1,MKI67,MMP2,NCAPD2,NFKBIZ,NNAT,POLA1,PPP1R15A,SLC6A1,SRSF1,SUV39H2,TOP2A,TPH1,VEGFA	Upstream	Q73_Vs_pTANK_Glia
UCP1 Signaling	7.15739076038944	3.346	AARS1,CEBPG,CTH,CTSV,EIF4EBP1,FASN,GARS1,GDF15,GOT1,MTHFD2,NUPR1,PHGDH,PSAT1,PSPH,SERPINE1,SHMT2,SLC3A2,SLC6A9,XPOT	Upstream	Q73_Vs_pTANK_Glia
LMNB1 Signaling	7.10790539730952	2.804	DHCR7,FASN,HMGCR,HMGCS1,HS6ST2,LDLR,LMNB2,MSMO1,PAPPA,SCD,SQLE	Upstream	Q73_Vs_pTANK_Glia
dihydrotestosterone Signaling	7.07211658966929	0.876	ADM,BGN,CACYBP,CD74,COL4A1,DHCR24,EGR1,EIF4EBP1,FASN,FGF2,FN1,GFAP,HLA-A,HMGCR,INHBB,LDHA,LDLR,MAF,ME1,MMP2,NNAT,PHGDH,PLAU,PMAIP1,PMEPA1,PROS1,RUNX2,SCD,SEL1L,SERPINB6,SLC1A4,SLC1A5,SLC3A2,SLCO3A1,SQLE,TAPT1,VEGFA,VLDLR	Upstream	Q73_Vs_pTANK_Glia
Gm35986 Signaling	7.06550154875643	2.216	FDFT1,HMGCR,HMGCS1,IDI1,MVK	Upstream	Q73_Vs_pTANK_Glia
trans-hydroxytamoxifen Signaling	7.0515870342214	-0.991	ADM,DDIT4,EGR1,EPB41L3,FN1,INHBB,LAMB1,LDHA,MMP2,PLAU,PLOD2,PPP1R3C,PRPS1,RFC4,S1PR1,SERPINF1,TMEM131L,TOP2A,UNC5B,WARS1	Upstream	Q73_Vs_pTANK_Glia
cycloheximide Signaling	7.04287180232319	-1.616	ADM,ASS1,CALR,CCL2,CD44,CD55,CEBPB,DDIT4,EGR1,FGF2,FN1,GOT1,HGF,ICAM1,IFIT1,LDHA,MMP2,NFE2L2,NQO1,PLAU,PMAIP1,PTPN13,RUNX2,SCD,SERPINE1,SOCS3,TNFAIP3,TNFRSF10B,VEGFA	Upstream	Q73_Vs_pTANK_Glia
ERBB2 Signaling	7.0423927129399	-0.588	ABRACL,ADAM12,ADAM19,ADAMTS16,ASPM,BCL3,BEX2,CCL2,CD34,CDCP1,CDKN2C,CEBPB,CKS2,COL4A1,EGR1,EIF4EBP1,FASN,FHIT,FN1,HAS2,HMGCR,HTRA1,IDI1,IGF2R,ITGA5,ITGA6,KDR,LAMB1,LDHA,MAF,MKI67,NCAPD2,NRP1,P4HA2,PGM1,PLAU,PMEPA1,POLA1,PRPS1,RFC4,SERPINE1,SQLE,SRPX,TNFRSF10B,TOP2A,VEGFA	Upstream	Q73_Vs_pTANK_Glia
IL6 Signaling	6.88941028970075	3.779	A2M,ADM,AGL,ATF3,BCL3,BCL6,BGN,CCL2,CD44,CD74,CEBPB,CIITA,CRH,DLX5,EGR1,FGF2,FN1,GBP3,GFAP,HGF,HLA-A,ICAM1,IFIT1,KDR,LDLR,MAF,MFAP4,MKI67,MMP2,PLAU,PLK4,PPP1R15A,PRPH,RUNX2,SC5D,SERPINE1,SNX10,SOCS3,TNFRSF10B,TNFRSF1A,TOP2A,VEGFA,VLDLR,WARS1	Upstream	Q73_Vs_pTANK_Glia
EGLN Signaling	6.88605664769316	-1.062	A2M,ADM,ADM2,AK4,BCL11B,CCL2,EIF4EBP1,FEM1C,IMMP2L,LDHA,PGM1,SAP30,SERPINE1,STC2,TMEM107,ULBP1,VEGFA,VLDLR	Upstream	Q73_Vs_pTANK_Glia
tretinoin Signaling	6.82102305270683	2.151	A2M,ADCYAP1R1,ADM,AFDN,BCL3,BCL6,CALR,CCL2,CCPG1,CD34,CD44,CD74,CDKN2C,CEBPB,CEBPG,CENPX,CKS2,COL4A1,COL4A2,CRH,DPYSL3,EGR1,EIF4EBP1,ENOX1,FASN,FGF2,FN1,GAD2,GARS1,GDF15,GFAP,GJB1,HAS2,HLA-A,HOXD12,ICAM1,IFIT1,IFITM1,ITGA6,KDR,LAMB1,MDK,MTHFD2,NCOA5,NFE2L2,NMI,NRP1,OLIG1,OLIG2,P4HA2,PAPPA2,PEG10,PLAAT4,PLAU,PLCE1,PMAIP1,PRPH,RBP1,RFC4,RUNX2,SCD,SCPEP1,SERPINE1,SERPING1,SLC7A11,SLFN5,SOX3,THSD4,TMSB10/TMSB4X,TNFAIP3,TNFRSF10B,TNFRSF1A,TOP2A,TRIM22,VEGFA	Upstream	Q73_Vs_pTANK_Glia
C5 Signaling	6.68824613894425	2.398	ATF3,BCL6,CCL2,CD55,EGR1,FN1,GDF15,HGF,ICAM1,NFE2L2,PPP1R15A,SERPINE1,THAP12,TNFAIP3,VEGFA	Upstream	Q73_Vs_pTANK_Glia
HGF Signaling	6.67162039656126	-0.017	A2M,ATF3,AURKB,CCL2,CD44,CDKN2C,CNTFR,COL4A1,EGR1,FN1,GPSM2,GRB14,HGF,ICAM1,INSIG1,ITGA6,LDHA,LDLR,MKI67,MMP2,NRCAM,NRP1,OSMR,PLAU,PLK4,PLXNA2,RUNX2,SERPINE1,SLC7A1,SOCS3,TNFAIP3,TNFRSF10B,TNFRSF1A,VEGFA	Upstream	Q73_Vs_pTANK_Glia
thalidomide Signaling	6.65955588515988	-2.789	FGF2,GDF15,ICAM1,KCNMA1,KDR,NRP1,NRP2,SERPINE1,VEGFA	Upstream	Q73_Vs_pTANK_Glia
sirolimus Signaling	6.63078414258986	-1.231	ADM,ASS1,AURKB,BCL3,BEX2,CEBPB,DDIT4,DOT1L,EGR1,FASN,FGF2,FN1,HGF,ICAM1,IDI1,KDR,LAMB1,LDHA,MAF,MMP2,PCDH1,PGM1,PLAU,RPL37,RUNX2,SCD,SCPEP1,SERPINE1,SLC1A5,SLC3A2,SOCS3,SQLE,TARS1,TOP2A,VEGFA	Upstream	Q73_Vs_pTANK_Glia
MPZ Signaling	6.58335949266172	0	FDFT1,HMGCR,HMGCS1,MVD,PPP1R15A,SDF2L1,SQLE	Upstream	Q73_Vs_pTANK_Glia
atorvastatin Signaling	6.54668165995296	-3.231	CCL2,CD55,DHCR24,DHCR7,EGR1,FDFT1,HMGCR,HMGCS1,ICAM1,IDI1,LDLR,MMP2,MSMO1,MVD,MVK,NSDHL,SERPINE1,SLCO1C1,SQLE,VEGFA	Upstream	Q73_Vs_pTANK_Glia
PI3K (complex) Signaling	6.51004152057517	2.876	ADAM12,ATF3,CCL2,CD44,CD55,CEBPB,DDIT4,FHIT,FN1,FRY,HMGCR,ICAM1,IFIT1,ITGA6,KDR,MMP2,MTHFD2,NFE2L2,NQO1,SERPINE1,SOCS3,TNFAIP3,TXNIP,VEGFA	Upstream	Q73_Vs_pTANK_Glia
F2 Signaling	6.44369749923271	3.29	BCL3,CALR,CCL2,CD44,CD55,COL4A1,EGR1,FGF2,FN1,HAS2,ICAM1,IER2,KDR,LMCD1,MMP2,MTSS1,NCOA7,PMAIP1,PROS1,SERPINE1,SLC7A1,TNFAIP3,VEGFA	Upstream	Q73_Vs_pTANK_Glia
INSIG1 Signaling	6.44129142946683	3.238	DHCR24,DHCR7,DLK1,FASN,FDFT1,HMGCR,HMGCS1,IDI1,LDLR,MVK,NFKBIZ,SCD,SQLE,STARD4	Upstream	Q73_Vs_pTANK_Glia
NFkB (complex) Signaling	6.41566877563247	4.14	A2M,ADM,ATF3,BCL3,BEX2,CCL2,CD44,CD74,CEBPB,CIITA,CXCL9,EGR1,FGF2,FN1,GAD2,GDF15,GFAP,HAS2,HLA-A,ICAM1,KDR,MMP2,MT3,MTSS1,NCOA7,NFKBIZ,PASK,PLAU,PMAIP1,RFTN1,SERPINE1,SLC7A1,SLC7A5,SOCS3,TNFAIP3,TNFRSF10B,TNFRSF1A,VEGFA	Upstream	Q73_Vs_pTANK_Glia
P38 MAPK Signaling	6.41566877563247	3.359	ASS1,ATF3,BGN,CCL2,CD44,CD55,CEBPB,CXCL9,EGR1,FGF2,FN1,HAS2,HTRA1,ICAM1,MMP2,NFE2L2,PLAU,PMAIP1,RBP1,RUNX2,SERPINE1,SOCS3,TNFRSF10B,TNFRSF1A,TOP2A,VEGFA,VLDLR	Upstream	Q73_Vs_pTANK_Glia
IFT88 Signaling	6.39685562737982	2.778	ACAT2,CEBPB,HMGCR,HMGCS1,IDI1,MVD,NSDHL,RUNX2	Upstream	Q73_Vs_pTANK_Glia
rosuvastatin Signaling	6.39685562737982	-2.813	DHCR7,FDFT1,HMGCR,HMGCS1,IDI1,LDLR,MVD,MVK	Upstream	Q73_Vs_pTANK_Glia
IL5 Signaling	6.39040559077478	0.469	A2M,AK3,ASS1,BCL3,BCL6,CCL2,CD55,CIITA,EGR1,EIF4EBP1,HMGCR,ICAM1,IDI1,IER2,IL13RA1,LMNB1,MANF,PGM1,PSAT1,RIPOR2,SAP30,SDF2L1,SLC1A5,SLC7A5	Upstream	Q73_Vs_pTANK_Glia
Pdgf (complex) Signaling	6.38195190328791	1.309	CCL2,CD44,COL4A1,EGR1,FGF2,FN1,ICAM1,ITGA5,LDLR,MMP2,PLAU,SERPINE1,VEGFA	Upstream	Q73_Vs_pTANK_Glia
indomethacin Signaling	6.36855623098683	-0.595	A2M,CCL2,CD34,CD44,CD55,CEBPB,CRH,FASN,FGF2,GDF15,HAS2,HGF,LDLR,MANF,MMP2,RFTN1,SLC7A5,TES,TMSB10/TMSB4X,TNFRSF10B,VEGFA	Upstream	Q73_Vs_pTANK_Glia
PRKCA Signaling	6.32148162095989	0.614	CCL2,CD55,CIITA,EGR1,FN1,GDF15,GFAP,ICAM1,IFIT1,INSIG1,NQO1,PEG10,RUNX2,SERPINE1,VEGFA	Upstream	Q73_Vs_pTANK_Glia
mifepristone Signaling	6.29073003902417	-0.846	ADM,ATF3,BCAT1,CCL2,CD74,CEBPB,DDIT4,EGR1,FDFT1,FGF2,HAS2,ICAM1,INHBB,KLF11,LDLR,LRP1,NDN,NFE2L2,RUNX2,SERPINE1,SERPING1,TAC3,TNFRSF10B	Upstream	Q73_Vs_pTANK_Glia
TGFB2 Signaling	6.27490547891853	2.55	CIITA,COL4A1,EGR1,FGF2,FN1,GAS1,HAS2,HSPG2,KDR,MMP2,PLOD2,SCD,SERPINE1,VEGFA	Upstream	Q73_Vs_pTANK_Glia
EPAS1 Signaling	6.26841123481326	2.302	ADM,CDCP1,CEBPB,CKB,FASN,FN1,HMGCS1,INHBB,KDR,LDHA,LDLR,MANF,NEAT1,PCDH10,PLOD2,SERPINE1,SLC16A4,SLC7A5,STC2,TNFAIP3,VEGFA	Upstream	Q73_Vs_pTANK_Glia
CYP51A1 Signaling	6.23957751657679	2.449	DHCR24,HMGCR,MSMO1,NSDHL,SC5D,SQLE	Upstream	Q73_Vs_pTANK_Glia
ethanol Signaling	6.23507701535011	1.704	ADCYAP1R1,ADM,ATF3,CCL2,CDH13,CEBPB,CLIC4,CRH,DDR2,EGR1,ELMOD1,FASN,FGF2,GFAP,HLA-A,ICAM1,MMP2,NMI,NQO1,NSDHL,PPP1R3C,RBP1,RGCC,SCD,SERPINE1,SLC7A11,SQLE	Upstream	Q73_Vs_pTANK_Glia
cerivastatin Signaling	6.22841251911874	-2.27	ASS1,CCL2,FGF2,FN1,HMGCR,HMGCS1,ICAM1,IDI1,PLAU,SERPINE1,TMSB10/TMSB4X,VEGFA	Upstream	Q73_Vs_pTANK_Glia
ERK Signaling	6.10513034325475	2.542	BGN,CCL2,CKS2,EGR1,FGF2,FN1,GDF15,GOT1,ICAM1,LAMB1,LDLR,MMP2,NFE2L2,NFKBIZ,PLAU,PMAIP1,RRS1,RUNX2,SERPINE1,TNFRSF10B,VEGFA	Upstream	Q73_Vs_pTANK_Glia
platelet activating factor Signaling	6.10237290870956	2.166	CCL2,EGR1,FGF2,FN1,ICAM1,MMP2,PLAU,SERPINE1,SOCS3,VEGFA	Upstream	Q73_Vs_pTANK_Glia
FOXO4 Signaling	6.08460016478773	0.137	BCL6,COL4A1,COL4A2,DHCR24,FASN,FDFT1,HMGCR,HMGCS1,IDI1,NRP2,SCD,SERPINE1,VEGFA	Upstream	Q73_Vs_pTANK_Glia
VEGFA Signaling	6.07675598136972	2.545	AK4,ALDH2,CCL2,CD34,CD55,CLIC4,CTSV,EGR1,FGF2,FN1,ICAM1,KDR,MKI67,MMP2,MVP,NRP1,PLAU,PPA1,RUNX2,SERPINE1,SHMT2,TMSB10/TMSB4X,UNC5B,VEGFA	Upstream	Q73_Vs_pTANK_Glia
arsenite Signaling	6.06248210798265	0.482	ADAM12,ADAMTS16,CXCL9,EGR1,FHIT,HAS2,HGF,HS6ST2,INHBB,NFE2L2,NQO1,PPP1R3C,SERPINE1,VEGFA	Upstream	Q73_Vs_pTANK_Glia
KIF3A Signaling	6.05207638016827	2.401	ACAT2,HMGCR,HMGCS1,IDI1,MVD,NSDHL,VEGFA	Upstream	Q73_Vs_pTANK_Glia
BMP7 Signaling	6.03058408764602	0.321	CCL2,CD34,CD44,CEBPB,DLK1,DLX5,FASN,FN1,GRB14,ICAM1,MMP2,RUNX2,SERPINE1,SOCS3,VEGFA	Upstream	Q73_Vs_pTANK_Glia
NPPB Signaling	6.00656376950239	2.178	ACAT2,FDFT1,FN1,HMGCR,HMGCS1,IDI1,LDLR,MSMO1	Upstream	Q73_Vs_pTANK_Glia
INSIG2 Signaling	6.00656376950239	2.396	FASN,FDFT1,HMGCR,INSIG1,LDLR,SCD	Upstream	Q73_Vs_pTANK_Glia
PPARGC1B Signaling	5.95860731484177	-2.572	CKB,DHCR24,FASN,FDFT1,HMGCR,MVD,MVK,RUNX2,SCD,SQLE,VEGFA	Upstream	Q73_Vs_pTANK_Glia
EGR1 Signaling	5.95078197732982	1.227	ARC,ATF3,CCL2,CD44,EGR1,EIF4EBP1,FGF2,FN1,GDF15,HMGCR,ICAM1,LDLR,ME1,PEG10,PLAU,SERPINE1,SQLE,VEGFA	Upstream	Q73_Vs_pTANK_Glia
F2R Signaling	5.91721462968355	2.682	CCL2,CD44,CD55,EGR1,FN1,ICAM1,ITGA6,KDR,LAMB1,MMP2,PLAU,TNFAIP3,VEGFA	Upstream	Q73_Vs_pTANK_Glia
haloperidol Signaling	5.9100948885606	-2.478	ARC,CRH,EGR1,FGF2,GFAP,HMGCR,HMGCS1,HSPG2,LDLR,OLIG2,SC5D,VEGFA	Upstream	Q73_Vs_pTANK_Glia
EIF2AK4 Signaling	5.88605664769316	2.158	ATF3,CHAC1,EGR1,OLIG2,PHGDH,PPP1R15A,PSAT1,PSPH	Upstream	Q73_Vs_pTANK_Glia
CSF2 Signaling	5.87289520163519	0.447	BCL3,CCL2,CD74,CDKN2C,CIITA,EGR1,FBXO5,GDF15,HAS2,HGF,HMGCR,ICAM1,LAMP3,LDHA,MKI67,MMP2,NCAPD2,NCAPH,NRP1,NUSAP1,OSMR,PHGDH,PLAU,PPP1R15A,RIPOR2,SGO1,SLC1A5,SOCS3,TNFAIP3,TNFRSF1A,TOP2A	Upstream	Q73_Vs_pTANK_Glia
PI3K (family) Signaling	5.86012091359876	1.112	ADM,CCL2,CXCL9,DDIT4,FASN,IFIT1,ITGA6,MMP2,NFE2L2,NQO1,SERPINE1,TNFRSF10B,TXNIP,VEGFA	Upstream	Q73_Vs_pTANK_Glia
lovastatin Signaling	5.84771165561694	-2.749	ACAT2,ATF3,CCL2,CIITA,DHCR7,FASN,FDFT1,GFAP,HMGCR,HMGCS1,LDLR,MKI67,MVD,MVK,SERPINE1	Upstream	Q73_Vs_pTANK_Glia
GNAQ Signaling	5.81247927916354	0	ADM,AK4,ATF3,CD44,CTSV,EGR1,GRB14,HAS2,INSIG1,KCNK2,LMCD1,SERPINE1,STMN2,VEGFA	Upstream	Q73_Vs_pTANK_Glia
ANGPT2 Signaling	5.80687540164554	0.8	ADAM12,CALR,CEBPB,CRH,EXT2,FN1,HMGCS1,ICAM1,KPNA2,LMNB2,MMP2,PLAU,POLA1,PROS1,RFC4,SERPINE1,SERPING1,TNFRSF10B,TXNIP	Upstream	Q73_Vs_pTANK_Glia
Mek Signaling	5.79317412396815	0.187	CDCP1,CXCL9,DDR2,EGR1,FASN,GDF15,HAS2,IER2,ITGA6,KDR,MAF,MMP2,NQO1,PMAIP1,PUS7,SERPINE1,SH2B3,TNFAIP3,TNFRSF10B,TOP2A	Upstream	Q73_Vs_pTANK_Glia
SPP1 Signaling	5.78251605578609	2.416	CCL2,CD44,DHCR7,FN1,GFAP,HAS2,HMGCR,ICAM1,INSIG1,MMP2,NRCAM,PLAU,RUNX2,SC5D,SERPINE1,SERPINF1,VEGFA	Upstream	Q73_Vs_pTANK_Glia
cytokine Signaling	5.75696195131371	2.477	ADAM12,BCL3,CCL2,CRH,EGR1,FGF2,GFAP,ICAM1,ITGA6,MMP2,PLAAT4,PLAU,PRPH,SERPINE1,SOCS3	Upstream	Q73_Vs_pTANK_Glia
IKBKB Signaling	5.74957999769111	2.884	ATF3,AURKB,CCL2,CD44,CDH13,CEBPB,EGR1,FASN,GBP3,HGF,HLA-A,ICAM1,KIF20A,LMNB1,MMP2,PLAU,PLD3,PTPN13,RBP1,SOCS3,TNFAIP3,VEGFA	Upstream	Q73_Vs_pTANK_Glia
15-deoxy-delta-12,14 -PGJ 2 Signaling	5.70774392864352	-1.1	CCL2,CIITA,CXCL9,EGR1,FN1,GDF15,HGF,ICAM1,KDR,NFE2L2,NQO1,PLAAT4,PLAU,RUNX2,SERPINE1,SOCS3,VEGFA	Upstream	Q73_Vs_pTANK_Glia
SP1 Signaling	5.69250396208679	3.046	ABCD2,ASS1,ATF3,CCL2,CD55,CDKN2C,CEBPB,CENPX,CIITA,CKB,CTH,DHCR24,EGR1,FASN,FGF2,FN1,GDF15,HAS2,HGF,HMGCR,ICAM1,KDR,LDLR,MAZ,MMP2,OLIG2,PLAU,PMAIP1,RUNX2,SERPINE1,SLC7A1,TNFAIP3,TNFRSF10B,VEGFA,ZFAS1	Upstream	Q73_Vs_pTANK_Glia
VDR Signaling	5.6675615400844	-1.414	APC,CD44,CEBPB,COL4A1,COL4A2,EGR1,ICAM1,LDLR,NCAPD2,NDC1,NUPR1,NUSAP1,PLCG1,PODXL,RGCC,SERPINB6,SOCS3,TPH1,TXNIP,VEGFA	Upstream	Q73_Vs_pTANK_Glia
APOE Signaling	5.64975198166584	0.548	ATF3,BGN,CALR,CD44,CREB3L1,CTSV,EGR1,HERPUD1,HMGCR,HSPG2,ICAM1,ITGA5,LDLR,LRP1,MMP2,PLAU,PMEPA1,PPP1R15A,RTN4R,SERPINE1,SLC6A1,SOCS3,TNFRSF1A,TXNIP	Upstream	Q73_Vs_pTANK_Glia
NFE2L2 Signaling	5.62893213772826	2.562	ATF3,CDKN2C,COL4A2,DHCR7,DNAJB5,FN1,GFAP,HAX1,HERPUD1,ICAM1,ME1,MSMO1,NARS1,NFE2L1,NFE2L2,NQO1,OGT,PHGDH,PSAT1,RRS1,SERPINE1,SHMT2,SLC1A4,SLC38A1,SLC6A9,SLC7A11,SOCS3,VEGFA	Upstream	Q73_Vs_pTANK_Glia
TNFRSF1A Signaling	5.62893213772826	1.889	CCL2,CD44,CEBPB,GFAP,ICAM1,KDR,LMO2,MMP2,NFE2L2,NQO1,PLAU,SERPINE1,SOCS3,TNFRSF1A,VEGFA	Upstream	Q73_Vs_pTANK_Glia
