Pathway	pVal	zScore	Genes	type	comparison
IRAK1 Signaling	5.65955588515988	0.615	CXCL10,CXCL16,IL1B,IL23A,IL6,NFATC2,STAT1,STAT2,TNF	Upstream	R62_12wk
NLRP12 Signaling	5.65955588515988	-1.454	CXCL2,CXCR4,HLA-A,HLA-G,IL1B,IL1RN,IL6,MAP3K14,TNF	Upstream	R62_12wk
PTH Signaling	5.65364702554936	0.685	AREG,ATP2A2,CALB1,Ccl2,CSF1,CXCL2,CXCR4,FN1,HDAC4,IGF1,IL6,LRBA,PLAU,PPP1R1A,PPP1R1B,PTGS2,RGS2,SORT1,SPP1,ST14,TNS1	Upstream	R62_12wk
IKBKB Signaling	5.64975198166584	3.295	AURKB,Ccl2,CH25H,CSF1,CXCL10,Cxcl11,CXCL16,CXCL2,CXCL3,Cxcl9,CXCR4,F3,FOXO1,FSCN1,HGF,HLA-A,IFI16,IFIT1B,IL12B,IL1B,IL1RN,IL6,IRF1,PLAU,PTGS2,SOCS2,TNF,TNFAIP2,VEGFA	Upstream	R62_12wk
Hbb-b2 Signaling	5.64206515299955	1	Ccl2,CLEC7A,CXCL10,Cxcl9,CYBB,FN1,HFE,IL16,IL1B,IL2RB,TFRC	Upstream	R62_12wk
IRF2 Signaling	5.64206515299955	0.602	ANG,CEACAM1,CXCL10,EIF2AK2,IFI35,IL12B,IL1B,IL6,IRF1,IRF7,NAMPT,PTGS2,Retnla,SLC7A1,TNFSF10,UBE2L6,USP18	Upstream	R62_12wk
MET Signaling	5.64016451766011	3.151	AREG,AURKB,CD274,CDK1,Cxcl11,FGL2,FN1,HGF,Hspa1b,HSPB1,IFIT1B,IL1B,IL6,PTGS2,SPP1,VEGFA	Upstream	R62_12wk
PPIF Signaling	5.64016451766011	1.5	Ccl2,Ccl6,CXCL10,Cxcl11,CXCL2,CXCL3,Cxcl9,CXCR4,HGF,HIST1H2BI,Ifi202b,IL16,IL6,Mff,PTN,TNF	Upstream	R62_12wk
CSF2 Signaling	5.64016451766011	2.316	ABCG1,Ccl2,CCND3,CD86,CDK1,CEACAM1,CLEC7A,CSF1,CXCL10,Cxcl11,CXCL2,Cxcl9,CXCR4,CYBB,EGR3,F2R,F3,FLT1,HGF,HSPH1,IFITM3,IGF1,IL12B,IL16,IL1B,IL1RN,IL23A,IL6,ITGAX,LAMP2,NCAPH,NFATC2,OSM,PLAU,PTGER4,PTGS2,SOCS2,SPP1,TLR1,TNF	Upstream	R62_12wk
NFKBIA Signaling	5.62893213772826	1.869	ABCD3,AURKB,AXL,Ccl2,CD86,CH25H,CSF1,CXCL10,CXCL2,CXCL3,CXCR4,DAG1,F3,FN1,FSCN1,GAS5,GPX3,HLA-A,IFI16,IFIT1B,IL1B,IL1RN,IL6,IRF1,LYNX1,MMP15,PLAU,PTGS2,RNF19A,SERINC1,SLC12A2,TFRC,TMPO,TNF,TNFAIP2,TNFSF10,UBE2H,VEGFA,ZNF638	Upstream	R62_12wk
zymosan Signaling	5.62893213772826	2.097	Ccl2,CD86,CSF1,CXCL2,CXCL3,IL12B,IL1B,IL23A,IL6,LPL,PTGS2,TNF	Upstream	R62_12wk
C5AR2 Signaling	5.6252516539899	-0.668	ATP2A2,Ccl2,CXCL2,CXCL3,IL12B,TNF	Upstream	R62_12wk
LECT2 Signaling	5.6252516539899	0.492	Ccl2,CXCL10,CXCL3,IL1B,IL6,TNF	Upstream	R62_12wk
MAS1 Signaling	5.6252516539899	-0.808	Ccl2,CYBB,IL1B,IL6,Retnla,TNF	Upstream	R62_12wk
Collagen type II Signaling	5.61083391563547	1.219	Ccl2,CXCL2,CXCL3,IL1B,IL1RN,IL6,SIGLEC1,TLR7,TNF,TNFSF10	Upstream	R62_12wk
herbimycin Signaling	5.61083391563547	-2.572	ATP2A3,CCND3,CXCR4,F2R,IL1B,IL6,PLAU,PTGS2,SERPINE1,TNF	Upstream	R62_12wk
CCN1 Signaling	5.59516628338006	2.541	Ccl2,CXCL10,CXCL2,CXCL3,FN1,IL12B,IL1B,IL6,PLAU,PTGS2,SERPINE1,TLR7,TNF,TNFSF10,VEGFA	Upstream	R62_12wk
JAK1/2 Signaling	5.57839607313017	1.437	Bst2,Ccl2,DDN,EIF2AK2,HLA-DQA1,HPCA,IL6,IRF1,IRF7,Mx2,Nrgn,RSAD2,TNF	Upstream	R62_12wk
CLIC4 Signaling	5.54975089168064	0.9	CXCL2,IL12B,IL1B,IL6,TNF	Upstream	R62_12wk
IFNA17 Signaling	5.54975089168064	1.067	CD86,CXCL10,EIF2AK2,IFIH1,ZBP1	Upstream	R62_12wk
iguratimod Signaling	5.54975089168064	-1.287	Ccl2,CXCL2,CXCL3,IL6,TNF	Upstream	R62_12wk
Ccl2 Signaling	5.54060751224077	2.582	Ccl2,CSF1,CXCL10,CXCL2,CXCL3,HGF,IGF1,IL1B,IL6,LPL,TNF	Upstream	R62_12wk
IL12B Signaling	5.54060751224077	0.982	Ccl2,CD86,CXCL10,IL12B,IL1B,IL23A,IL6,IRF9,STAT1,STAT2,TNF	Upstream	R62_12wk
IKBKG Signaling	5.54060751224077	2.319	ATP2A2,Ccl2,CH25H,CSF1,CXCL10,CXCL2,CXCL3,HLA-A,IFI16,IFIT1B,IL1B,IL1RN,IL6,IRF7,TNF,TNFAIP2,TNFSF10,Ttf1,VEGFA	Upstream	R62_12wk
AG490 Signaling	5.52870828894106	-2.349	ACAT1,Ccl2,CCND3,HPGD,IGF1,IL1B,IL6,IRF1,PTGS2,SPP1,STAR,STAT1,TNF,TNFSF10,VEGFA	Upstream	R62_12wk
RET Signaling	5.52578373592374	0.779	AUH,CALB1,Ccl2,CSF1,CXCR4,HSPA1A/HSPA1B,HSPH1,IL1B,IL6,LOX,PER3,PLAU,PLAUR,PTN,RNF19A,SDK1,TNF	Upstream	R62_12wk
TLR5 Signaling	5.51999305704285	2.263	Ccl2,CD86,CXCL2,CXCL3,IL12B,IL1B,IL6,TLR7,TNF	Upstream	R62_12wk
PD98059 Signaling	5.51570016065321	-2.577	ADIPOR1,AREG,Ccl2,CD36,CD86,CXCL10,CXCL2,CXCL3,CXCR4,DIO2,EGR3,F2R,F3,FAM171A1,FKBP5,FN1,GSK3B,HGF,HPGD,IGF1,IGF2BP2,IL12B,IL1B,IL1RN,IL6,ITGAX,LAMP2,LPL,MAPK1,MSR1,OSM,PLAU,PLAUR,PTGS2,RTCB,SERPINE1,SLC26A2,SOCS2,SPP1,ST6GAL1,STAR,TNF,Trim30a/Trim30d,TSC22D3,VEGFA	Upstream	R62_12wk
CXCL10 Signaling	5.51004152057517	1.264	Ccl2,Ccl6,CXCL10,Cxcl11,Cxcl9,IL1B,IL6,TNF	Upstream	R62_12wk
LTB4R Signaling	5.51004152057517	1.51	Ccl2,CLEC7A,CXCL2,CXCL3,FLT1,PTGS2,TNF,VEGFA	Upstream	R62_12wk
oxazolone Signaling	5.51004152057517	2.019	Ccl2,CXCL10,CXCL3,Cxcl9,IL12B,IL1B,IL6,TNF	Upstream	R62_12wk
beta-estradiol Signaling	5.50863830616573	0.415	ALCAM,ANKH,APOD,APOE,AREG,CALB1,CAMK2A,CAMK4,Ccl2,CCND3,CD274,CD86,CDC42EP4,CDCA7,CDK1,CLCN3,CLEC1B,Clec2d (includes others),CXCL10,CXCL2,CXCL3,CXCR4,CYBB,CYP51A1,DECR1,DLG2,DMTN,DYRK2,EGR3,ENC1,F3,FADS1,FMO5,FN1,FOXO1,FSCN1,GAL,GPX3,GSK3B,HDAC4,HGF,HLA-A,HLA-DQA1,HPGD,HSP90AB1,HSP90B1,Hspa1b,HSPB1,HSPH1,HTRA3,Ifi202b,IFIT1B,IGF1,IGSF6,IL12B,IL1B,IL6,IRF1,IRF7,KCNAB1,KPNA4,LGALS3,LGALS3BP,LIPC,LOX,LPIN1,LPL,LYZ,MAPK1,MTTP,Mx2,NAMPT,NCAM1,NFE2L2,NR3C2,PENK,PKIB,PLAU,PLAUR,PLIN2,PPP1R1B,PREP,PSAT1,PTGER3,PTGER4,PTGS2,PXMP4,Retnla,RGS2,RTP4,RYBP,SDC3,SERPINE1,SIGLEC8,SLC12A2,SLC24A3,SLC25A12,SLC6A9,SLC7A5,SNAP25,SOCS2,SSR1,ST8SIA1,STAR,TCIM,TMPO,TNF,TPD52,TRIM25,TSC22D3,VEGFA,YY1,ZNF638,ZNF655	Upstream	R62_12wk
RUNX1 Signaling	5.49894073778225	0.751	ALCAM,CCND3,CD72,CSF1,CST7,EVI5,FSCN1,Gzmb,IL1B,ITGA9,JAM3,KLRB1,Ly6a (includes others),mir-142,NCAM1,SERPINE1,SLAMF1,SLC24A3,SPP1,TAL1,VEGFA,ZBTB16	Upstream	R62_12wk
NSD2 Signaling	5.49620931694282	1	CXCR4,HDAC4,IFIT1B,IGF1,IGF2BP2,IRF7,JAM2,Mx1,PRKCA,STAT1	Upstream	R62_12wk
PTGS1 Signaling	5.49620931694282	1.873	Ccl2,CYBB,IL1B,IL6,NCF1,PTGER3,PTGER4,PTGS2,TNF,VEGFA	Upstream	R62_12wk
advanced glycation end-products Signaling	5.49620931694282	1.97	ABCG1,F2R,FN1,FOXO1,IL6,PTGS2,SERPINE1,SERPINF1,SPP1,TNF	Upstream	R62_12wk
ERK Signaling	5.47237009912866	1.974	AREG,AXL,BCAR3,Ccl2,CCND3,CXCL10,CXCL2,DIO2,EIF2AK2,FN1,FOXO1,IL12B,IL1B,IL23A,IL6,NFE2L2,PLAU,PTGS2,RAB7B,SERPINE1,SORT1,STAT1,TBX21,TNF,VEGFA	Upstream	R62_12wk
COPA Signaling	5.47108329972234	0	IL12B,IL1B,IL23A,IL6	Upstream	R62_12wk
DCB 3503 Signaling	5.47108329972234	-0.958	Ccl2,IL1B,IL6,TNF	Upstream	R62_12wk
IFIT2 Signaling	5.47108329972234	2	IL12B,IL1B,IL6,TNF	Upstream	R62_12wk
MUC2 Signaling	5.47108329972234	0	IL1B,IL6,PTGS2,TNF	Upstream	R62_12wk
TLR2/TLR4 Signaling	5.47108329972234	1.98	IL12B,IL23A,IL6,TNF	Upstream	R62_12wk
3-deoxy-2-octulosonic acid(2)-lipid A Signaling	5.45593195564972	1.89	Ccl2,CH25H,CXCL10,IFIT1B,IL1B,IL6,PTGS2	Upstream	R62_12wk
EREG Signaling	5.45593195564972	1.827	AREG,CALB1,CXCL3,IL12B,IL6,PTGS2,TNF	Upstream	R62_12wk
IL36B Signaling	5.45593195564972	0	CD86,CXCL10,IL12B,IL1B,IL23A,IL6,TNF	Upstream	R62_12wk
ssRNA40 Signaling	5.45593195564972	1.948	CD86,DDX58,IL12B,IL1B,IL23A,IL6,TNF	Upstream	R62_12wk
genistein Signaling	5.41680122603138	-1.56	ACP2,ALDH5A1,AP3S2,ARSG,Ccl2,CD86,CDK1,CXCL10,CXCL2,CXCL3,DNASE1L3,EXT1,F3,HLA-A,HLA-DQA1,HPGD,HSPA1A/HSPA1B,IFIT2,IGF1,IL1B,IL6,IRF7,LPL,MTTP,NFE2L2,PKIB,PTGS2,PXMP4,SERPINE1,SORT1,SPP1,STAR,TNF,TPD52,VEGFA	Upstream	R62_12wk
progesterone Signaling	5.40782324260413	1.193	ACAT1,ADARB1,ADRA2A,ANKH,APOD,APOE,AREG,ARNTL,CCND3,CD36,CD86,CSF1,CXCL10,CXCR4,ENC1,F2R,F3,FKBP5,FLT1,FMO5,FN1,FOXO1,GAL,GAS6,HGF,HLA-G,IGF1,IL12B,IL6,ISG20,JAM2,KCNAB1,LGALS3,LPIN1,LPL,NCAM1,NCAPH,NR3C2,PPP1R1B,PTGER3,PTGER4,PTGS2,SHD,SPP1,STAT1,STAT5B,TNF,TNFSF10,VEGFA	Upstream	R62_12wk
bortezomib Signaling	5.39685562737982	-3.342	BAG3,Ccl2,CXCL10,CXCL2,Cxcl9,CXCR4,DNAJB1,FOXO1,GPNMB,HSP90B1,HSPA1A/HSPA1B,Hspa1b,IGF1,IL12B,IL1B,IL6,MAPK1,PKIB,PSMA3,PTGS2,RSAD2,TLR7,TNF,VAPB,VEGFA	Upstream	R62_12wk
indomethacin Signaling	5.39685562737982	-0.092	ABCD3,CAPN2,Ccl2,CXCR4,FLT1,GAS5,GPNMB,HGF,IFITM3,IGF1,IL1B,IL6,LGALS3,LPL,MANF,PLAUR,PLIN2,PRKCA,PTGER4,PTGS2,SLC7A5,SPP1,STAR,TNF,VEGFA	Upstream	R62_12wk
mir-155 Signaling	5.39469495385889	-1.726	CXCL10,Cxcl11,DNAJB1,DOCK1,IL12B,IL1B,IL6,IRF7,IRF9,Mx1,PTGS2,RICTOR,RORA,SERPINE1,STAT1,TNF	Upstream	R62_12wk
3-methyladenine Signaling	5.38827669199266	1.825	CD86,CXCL2,HSP90B1,IL12B,IL1B,IL23A,IL6,PTGS2,TNF	Upstream	R62_12wk
bryostatin 1 Signaling	5.38827669199266	0.966	AREG,CD22,CD86,CXCR4,IL1B,IL6,PRKCA,TBX21,TNF	Upstream	R62_12wk
monocrotaline Signaling	5.38827669199266	2.243	ATP2A2,Ccl2,CYBB,HSP90AB1,IL1B,IL6,NCAM1,SPP1,TNF	Upstream	R62_12wk
C3AR1 Signaling	5.3840499483436	1.043	Ccl2,CD86,CXCL10,DYRK2,IGF1,IL1B,IL23A,IL6,SERPINE1,TNF	Upstream	R62_12wk
CCR5 Signaling	5.3840499483436	1.149	Ccl2,CXCL10,CXCL2,CXCL3,F3,IL12B,IL1B,IL23A,IL6,TNF	Upstream	R62_12wk
Pam3-Cys Signaling	5.3840499483436	2.809	CD86,CXCL10,CXCL2,CXCL3,IL12B,IL1B,IL1RN,IL6,SERPINE1,TNF	Upstream	R62_12wk
ATP-gamma-S Signaling	5.36552272983927	0.991	AREG,CD72,CD86,CSF1,CST7,CXCL2,CXCR4,IL16,IL6,PTGS2,TLR1,TNF	Upstream	R62_12wk
methylprednisolone Signaling	5.35457773065091	-2.145	ARNTL,ATP2A2,Ccl2,CXCL3,CYBB,DPYS,EPN2,F3,FBXO30,FGL2,FN1,GAS5,HSP90B1,HSPA1A/HSPA1B,HSPH1,IGF1,IGSF6,IL1B,IL1RN,IL6,IRF1,IRF7,LOX,LPL,Ly6a (includes others),Mx2,NFE2L2,NFIA,PLAU,PLAUR,PLIN2,PSAT1,PTER,RGS2,SCAMP1,SERPINE1,SLC4A11,STAT1,Sult1a1,TENT4A,TFRC,TNF,VMP1,Wasl	Upstream	R62_12wk
EBI3 Signaling	5.34582345812204	0.811	CCND3,CD274,CD86,CTSE,HLA-A,HLA-DQA1,IRF1,STAT1,STAT2,TBX21,TNFSF10	Upstream	R62_12wk
10E,12Z-octadecadienoic acid Signaling	5.34390179798717	1.034	Ccl2,CD36,FADS1,GLA,IGF1,IL1B,IL1RN,IL6,LPIN1,NAMPT,PLIN2,PTGS2,TNF	Upstream	R62_12wk
hemin Signaling	5.34390179798717	-1.961	Ccl2,CYBB,FN1,HFE,HSP90AB1,IGF1,IL12B,IL1B,IL6,NFE2L2,PTGS2,SPP1,TNF	Upstream	R62_12wk
Pka Signaling	5.34103515733556	-0.154	APOE,AREG,CAMK4,CCND3,CXCL10,CYP51A1,IGF1,IL23A,IL6,IRF1,NCF1,PENK,PPP1R1B,PTGS2,RGS2,STAR,TNF,XAF1	Upstream	R62_12wk
6-aminopyrazolopyrimidine derivative compound II Signaling	5.34103515733556	-2.433	IFIT1B,IFITM3,IL6,IRF7,Oasl2,TNF	Upstream	R62_12wk
CCL3L3 Signaling	5.34103515733556	0.985	Ccl2,CXCL10,Cxcl9,IL1B,IL6,TNF	Upstream	R62_12wk
CLEC4E Signaling	5.34103515733556	2.395	AREG,CSF1,CXCL2,CXCL3,IL6,TNF	Upstream	R62_12wk
ELN Signaling	5.34103515733556	-1	CD86,FN1,IL1B,IL6,NCF1,TNF	Upstream	R62_12wk
PLCG2 Signaling	5.34103515733556	2.176	FOXO1,IFIT2,IL6,PTGS2,TNF,TNFSF10	Upstream	R62_12wk
PRF1 Signaling	5.34103515733556	-1.177	Ccl2,CXCL10,IL1B,IL6,Klra7 (includes others),TNF	Upstream	R62_12wk
picryl chloride Signaling	5.34103515733556	2.414	CXCL10,CXCL3,HLA-DQA1,IL1B,SPP1,TNF	Upstream	R62_12wk
zymosan A Signaling	5.34103515733556	1	Ccl2,CD86,IL12B,IL1B,IL6,TNF	Upstream	R62_12wk
alitretinoin Signaling	5.29328221766324	-0.69	ABCG1,ANXA5,APOD,ATP1A3,BLZF1,CALB1,Ccl6,CCND3,CD36,CD86,CXCL10,DNASE1L3,FN1,IL2RB,IL6,IRF1,MTTP,PLAU,SPP1	Upstream	R62_12wk
LIF Signaling	5.29157909986529	1.425	AREG,Ccl2,CXCL10,CXCL2,FN1,GAL,HGF,HLA-G,IFI16,IGF1,IL1B,IL6,IRF1,JAM2,KLRB1,LPL,PTGS2,SOCS2,SPP1,STAR,TAL1,TNF,VEGFA	Upstream	R62_12wk
JAK1 Signaling	5.28149831113273	2.961	EIF2AK2,HLA-A,IFIT2,IL1B,IRF1,IRF7,IRF9,Oasl2,STAT1,STAT2,TNF,USP18	Upstream	R62_12wk
IFI16 Signaling	5.26841123481326	2.605	AREG,CXCL10,DDX58,IFI16,IL1B,IL1RN,IL2RB,IL6,KPNA1,LPL,Mx1,STAT2,TNF	Upstream	R62_12wk
camptothecin Signaling	5.26280735729526	2.231	APOE,APPBP2,CD22,CD86,CDK1,CSF1,CSNK1D,CXCL2,CXCL3,ENC1,F3,FGL2,FLT1,FOXO1,FSCN1,GPNMB,H3F3A/H3F3B,HLA-A,HLA-DQA1,HLA-G,IFI16,IL16,IL1B,IL6,IRF1,ITSN1,JMJD6,KLHL21,LGALS3,LPIN1,mir-142,MYO5A,NVL,OSM,PLIN2,PPEF2,PRKAB1,PTGER4,PTGS2,RSAD2,SERPINE1,SPP1,STAT5B,TFRC,TNF,TP53BP1,VEGFA	Upstream	R62_12wk
CpG ODN 2395 Signaling	5.2580609222708	1.254	Ccl2,CD86,IL12B,IL1B,IL23A,IL6,TNF	Upstream	R62_12wk
TREM2 Signaling	5.2580609222708	-2.561	Ccl2,CD86,CXCL2,IL1B,IL6,PTGS2,TNF	Upstream	R62_12wk
MOG Signaling	5.25258819211358	1.588	Ccl2,CD274,CD86,CXCL10,Cxcl11,CXCL2,Cxcl9,IGF1,IL23A,IL6,TNF	Upstream	R62_12wk
Pkc(s) Signaling	5.25258819211358	1.196	ACAT1,CCND3,CD36,CXCR4,CYBB,F3,FN1,HPGD,HSP90B1,IL12B,IL1B,IL6,MAPK1,MSR1,PRKCA,PTGS2,RGS2,SERPINE1,SLC6A9,SPP1,STAR,TNF,VEGFA	Upstream	R62_12wk
thapsigargin Signaling	5.24641694110709	0.927	ADIPOR1,ATP2A2,Ccl2,CD86,CXCL10,CXCL2,CXCL3,DIO2,FN1,HSP90B1,HSPA1A/HSPA1B,IGF1,IL1B,IL6,KPNA1,LPIN1,NFE2L2,OLR1,SLC38A5,SYVN1,TNF,TNFSF10	Upstream	R62_12wk
Tgf beta Signaling	5.24565166428898	1.063	ANKH,Ccl2,CSF1,CXCL10,CXCL2,CXCL3,CXCR4,FN1,FSCN1,IGF1,IL12B,IL16,IL1B,IL1RN,IL6,LOX,Ly6a (includes others),MMP15,PLAU,PTGS2,RORA,SERPINE1,SPP1,TBX21,TFRC,TNF,TNFSF10,VEGFA	Upstream	R62_12wk
MAPK9 Signaling	5.21896306137887	2.126	Ccl2,Cxcl11,DIO2,FGL2,Fxyd2,Gzmb,IFI16,Iigp1,IL12B,IL1B,IL6,IRF9,ISG20,LGALS3BP,LPL,NR3C2,PARP14,PLIN2,TBX21,TNF	Upstream	R62_12wk
PPARA Signaling	5.20901152491118	0.588	ABCD3,ACAT1,Acot6,ADTRP,APOE,C2,Ccl2,CD36,CDK1,CEACAM1,Clec2d (includes others),CTSE,CYBB,CYP51A1,DBI,DECR1,DIO2,FADS1,HGF,HILPDA,HIST1H1C,HLA-DQA1,IFITM3,IL12B,IL1B,IL1RN,IL6,LPL,MTTP,NCF1,NFE2L2,PLIN2,PTGS2,SCAMP1,SOCS2,TBX21,TNF,VEGFA	Upstream	R62_12wk
ITGB3 Signaling	5.19997064075587	-0.329	CD36,CDK1,CEACAM1,CSF1,FN1,HSP90B1,IL1B,OSM,PLAU,PLAUR,PTGS2,SERPINE1	Upstream	R62_12wk
SFTPA1 Signaling	5.19517932127884	-2.193	Ccl2,CLEC1B,CXCL10,CXCL2,CXCL3,GSTO2,IL1B,IL6,LOX,NAMPT,PLIN2,SERPINE1,TNF	Upstream	R62_12wk
RAS Signaling	5.1944991418416	1.654	CCND3,CD274,CXCL10,FN1,IGF1,IL1B,IL6,IRF1,PLAU,PLAUR,PML,PTGS2,SERPINE1,STAT1,STAT2,TNF,VEGFA	Upstream	R62_12wk
ITGB1 Signaling	5.1890957193313	2.263	APOE,DAG1,FN1,IL12B,IL1B,IL1RN,IL6,ITGA9,LOX,MMP15,PLAU,PLAUR,PTGS2,RAC2,SERPINE1,SPON1,TNF,VEGFA	Upstream	R62_12wk
HIF1A Signaling	5.18309616062434	3.686	APOE,ATP2A2,AXL,Ccl2,CD274,CD36,CSF1,CXCL2,CXCL3,CXCR4,EGLN3,FLT1,FN1,FSCN1,HILPDA,HIST1H1C,HSPB1,IGF1,IL12B,IL1B,IL6,KIAA1217,LOX,MANF,NRARP,P4HA1,PLAUR,PRKCA,PTGS2,SERPINE1,TAF9B,TFAM,TFRC,TNF,TNFAIP2,VEGFA	Upstream	R62_12wk
PTPN6 Signaling	5.17134010346468	-1.027	Ccl2,CD86,CYBB,FN1,IL12B,IL1B,IL6,IRF1,TBX21,TNF	Upstream	R62_12wk
MSC Signaling	5.16178077809237	1.508	DDX60,EPSTI1,HGF,IFI44,IFI44L,IFIT1,IRF7,ITGA9,SPP1,TLR7,XAF1	Upstream	R62_12wk
LCN2 Signaling	5.15552282425432	1.451	CAPG,Ccl2,Ccl6,CXCL10,CXCL2,CXCL3,Cxcl9,IL1B,IL1RN,IL23A,IL6,Retnla,SPP1,TNF	Upstream	R62_12wk
Mek Signaling	5.15428198203334	-0.623	ACAT1,APOE,AXL,Ccl2,CCND3,CD36,CDCA7,CEBPZ,CXCL10,DDX58,EGR3,HSPB1,IL12B,IL1B,IL6,IRF1,OSM,PTGS2,SERPINE1,ST6GAL1,ST8SIA1,TET1,TNF,XAF1	Upstream	R62_12wk
ADGRF5 Signaling	5.13846558914096	-1.109	Ccl2,CSF1,CXCL3,IL1RN,TNF	Upstream	R62_12wk
GPR84 Signaling	5.13846558914096	1.342	Ccl2,IL12B,IL1B,IL6,TNF	Upstream	R62_12wk
MIA-602 Signaling	5.13846558914096	-0.447	Ccl2,IGF1,IL1B,MAPK1,TNF	Upstream	R62_12wk
PPT1 Signaling	5.13846558914096	-1.342	Ccl2,CXCL10,CXCL3,OSM,TNF	Upstream	R62_12wk
THBD Signaling	5.13846558914096	0	Ccl2,CXCL3,IL1B,IL6,TNF	Upstream	R62_12wk
cyanidin 3-O-glucoside Signaling	5.13846558914096	-1.506	ABCG1,IL1B,IL6,PTGS2,TNF	Upstream	R62_12wk
IL17A Signaling	5.13608262304214	2.393	AREG,Ccl2,CD274,CXCL10,CXCL2,CXCL3,Cxcl9,CXCR4,IFIT1B,IL16,IL1B,IL1RN,IL23A,IL6,ITPR2,KLF3,LOX,LPL,PLAU,PTGS2,Retnla,TNF,VEGFA	Upstream	R62_12wk
SP600125 Signaling	5.13076828026902	-1.196	APOE,CCDC117,Ccl2,CD86,CDK1,CXCL10,CXCL16,CXCL2,CXCL3,CYP51A1,F3,FN1,HIST1H2BF,HIST1H2BI,IGF1,IL12B,IL1B,IL23A,IL6,NR3C2,Oas1d (includes others),PTGS2,SERPINE1,SP110,SPP1,Tcstv3,THBS2,TNF,VEGFA	Upstream	R62_12wk
PLCE1 Signaling	5.08777794346758	1.495	Ccl2,CXCL2,CXCL3,IL6,PTGS2,TNF	Upstream	R62_12wk
nystatin Signaling	5.08777794346758	1.387	CD86,IL12B,IL1B,IL6,SPP1,TNF	Upstream	R62_12wk
phenyl-N-tert-butylnitrone Signaling	5.08777794346758	-0.97	CD86,FN1,HSPA1A/HSPA1B,IL6,PTGS2,TNF	Upstream	R62_12wk
IL2 Signaling	5.08512818245995	1.712	AREG,CAPG,Ccl2,CCND3,CD274,CD86,CEACAM1,CORO2A,CSF1,CTSW,CXCL10,CXCL3,Cxcl9,CXCR4,DUSP7,FGF13,FGL2,FOXO1,Gzmb,HIST1H1C,HSP90B1,HSPA1A/HSPA1B,IL12B,IL1B,IL2RB,IL6,IRF1,ISG20,KLRB1,Ly6a (includes others),Nrgn,OSM,PENK,PRF1,PTGS2,RGPD4 (includes others),RGS2,SLAMF1,SOCS2,SPP1,STAT5B,TBX21,TFRC,TNF,TNFSF10,VEGFA	Upstream	R62_12wk
U0126 Signaling	5.07779372256098	-1.865	ABI2,AREG,Ccl2,CCND3,CD274,CD36,CXCL10,CXCL2,CXCL3,CYBB,DUSP7,EGR3,F3,FKBP5,FN1,GSK3B,HLA-DQA1,HPGD,HSP90AB1,IL12B,IL1B,IL23A,IL6,IRF1,LAMP2,LPL,MAPK1,NR3C2,PLAU,PLAUR,PML,PTGS2,RAC2,Retnla,SERPINE1,SPP1,STAR,STAT1,TNF,TSC22D3,VEGFA	Upstream	R62_12wk
FOS Signaling	5.07572071393812	1.135	AGPS,BCAR3,CAMK2D,CAPN2,CXCL10,CXCL16,Cxcl9,DIO2,DOCK1,F3,FN1,GAS5,GSK3B,HPGD,HSP90B1,IL12B,IL23A,IL6,LAMP2,LGALS3,LGALS3BP,LOX,LPL,LYPD6,NFE2L2,NR3C2,PCNX1,PENK,PKIB,PLAU,PLAUR,Ppp2r5c,PTGS2,SDK1,SEMA4D,SEMA6D,SERPINE1,SPP1,STAR,TAL1,TAOK1,TNF,TPD52,VEGFA,XAF1	Upstream	R62_12wk
diphenyleneiodonium Signaling	5.07365755337435	-2.295	Ccl2,CXCL2,CXCL3,F3,FN1,IL1B,IL6,PTGS2,SERPINE1,THBS2,VEGFA	Upstream	R62_12wk
oblimersen Signaling	5.07007043991541	3.162	IFI16,IFI35,IFI44,IFIT1,IRF7,OAS2,OASL,PRKCA,RSAD2,STAT1	Upstream	R62_12wk
ADA Signaling	5.05700040663396	-2.611	Ccl2,CXCL2,CXCL3,IL6,SERPINE1,SPP1,TNF,VEGFA	Upstream	R62_12wk
IL36A Signaling	5.05700040663396	2.639	CXCL10,CXCL2,CXCL3,IL12B,IL1B,IL23A,IL6,TNF	Upstream	R62_12wk
TNFSF14 Signaling	5.05700040663396	1.492	Ccl2,CD86,CXCL10,CXCL3,Cxcl9,IL6,LIPC,TNF	Upstream	R62_12wk
clodronic acid Signaling	5.05700040663396	0.557	Ccl2,CD36,CD86,CXCL10,IL1B,IL6,MSR1,TNF	Upstream	R62_12wk
CD36 Signaling	5.05256627811295	2.567	AREG,ATP2A2,AXL,CD86,CXCL3,IL1B,IL6,LPL,MTTP,PLAU,PLAUR,SERPINE1,TNF	Upstream	R62_12wk
CGS 21680 Signaling	5.02365002099673	-1.494	Ccl2,EGR3,F3,IL12B,PTGS2,RGS2,TFRC,TNF,VEGFA	Upstream	R62_12wk
palmitic acid Signaling	5.0087739243075	2.942	Ccl2,CD36,CD86,CXCL10,CXCL2,CXCL3,CYBB,EGLN3,FN1,FOXO1,IGF1,IL12B,IL1B,IL1RN,IL6,NCF1,NFE2L2,OLR1,PLIN2,PTGS2,SERPINE1,SORT1,TNF,TNFSF10	Upstream	R62_12wk
